dataset,seed,K,method,oos_acc,features
breast_cancer,0,1,selectkbest,0.877193,worst concave points
breast_cancer,0,1,mutual_info,0.877193,worst perimeter
breast_cancer,0,1,extra_trees,0.877193,worst perimeter
breast_cancer,0,1,rfe,0.877193,worst concave points
breast_cancer,0,1,greedy_ftilde,0.877193,worst concave points
breast_cancer,0,1,greedy_f,0.885965,worst radius
breast_cancer,0,2,selectkbest,0.903509,worst concave points|worst perimeter
breast_cancer,0,2,mutual_info,0.903509,worst perimeter|mean concave points
breast_cancer,0,2,extra_trees,0.921053,worst perimeter|worst radius
breast_cancer,0,2,rfe,0.956140,worst area|worst concave points
breast_cancer,0,2,greedy_ftilde,0.903509,worst concave points|worst perimeter
breast_cancer,0,2,greedy_f,0.956140,worst radius|worst fractal dimension
breast_cancer,0,3,selectkbest,0.921053,worst concave points|worst perimeter|mean concave points
breast_cancer,0,3,mutual_info,0.929825,worst perimeter|mean concave points|worst area
breast_cancer,0,3,extra_trees,0.894737,worst perimeter|worst radius|worst concave points
breast_cancer,0,3,rfe,0.938596,worst perimeter|worst area|worst concave points
breast_cancer,0,3,greedy_ftilde,0.912281,worst concave points|worst perimeter|mean perimeter
breast_cancer,0,3,greedy_f,0.964912,worst radius|worst fractal dimension|mean compactness
breast_cancer,0,4,selectkbest,0.938596,worst concave points|worst perimeter|mean concave points|worst radius
breast_cancer,0,4,mutual_info,0.947368,worst perimeter|mean concave points|worst area|worst concave points
breast_cancer,0,4,extra_trees,0.938596,worst perimeter|worst radius|worst concave points|mean concave points
breast_cancer,0,4,rfe,0.929825,mean smoothness|worst perimeter|worst area|worst concave points
breast_cancer,0,4,greedy_ftilde,0.903509,worst concave points|worst perimeter|mean perimeter|mean compactness
breast_cancer,0,4,greedy_f,0.973684,worst radius|worst fractal dimension|mean compactness|mean area
breast_cancer,0,5,selectkbest,0.956140,worst concave points|worst perimeter|mean concave points|worst radius|mean perimeter
breast_cancer,0,5,mutual_info,0.921053,worst perimeter|mean concave points|worst area|worst concave points|worst radius
breast_cancer,0,5,extra_trees,0.903509,worst perimeter|worst radius|worst concave points|mean concave points|mean radius
breast_cancer,0,5,rfe,0.947368,mean area|mean smoothness|worst perimeter|worst area|worst concave points
breast_cancer,0,5,greedy_ftilde,0.912281,worst concave points|worst perimeter|mean perimeter|mean compactness|mean smoothness
breast_cancer,0,5,greedy_f,0.982456,worst radius|worst fractal dimension|mean compactness|mean area|radius error
breast_cancer,0,6,selectkbest,0.912281,worst concave points|worst perimeter|mean concave points|worst radius|mean perimeter|mean radius
breast_cancer,0,6,mutual_info,0.947368,worst perimeter|mean concave points|worst area|worst concave points|worst radius|mean perimeter
breast_cancer,0,6,extra_trees,0.973684,worst perimeter|worst radius|worst concave points|mean concave points|mean radius|worst area
breast_cancer,0,6,rfe,0.947368,mean area|mean smoothness|radius error|worst perimeter|worst area|worst concave points
breast_cancer,0,6,greedy_ftilde,0.912281,worst concave points|worst perimeter|mean perimeter|mean compactness|mean smoothness|mean fractal dimension
breast_cancer,0,6,greedy_f,0.973684,worst radius|worst fractal dimension|mean compactness|mean area|radius error|mean radius
breast_cancer,0,7,selectkbest,0.973684,worst concave points|worst perimeter|mean concave points|worst radius|mean perimeter|mean radius|worst area
breast_cancer,0,7,mutual_info,0.929825,worst perimeter|mean concave points|worst area|worst concave points|worst radius|mean perimeter|mean concavity
breast_cancer,0,7,extra_trees,0.947368,worst perimeter|worst radius|worst concave points|mean concave points|mean radius|worst area|mean concavity
breast_cancer,0,7,rfe,0.938596,mean area|mean smoothness|radius error|smoothness error|worst perimeter|worst area|worst concave points
breast_cancer,0,7,greedy_ftilde,0.921053,worst concave points|worst perimeter|mean perimeter|mean compactness|mean smoothness|mean fractal dimension|worst fractal dimension
breast_cancer,0,7,greedy_f,0.964912,worst radius|worst fractal dimension|mean compactness|mean area|radius error|mean radius|mean perimeter
breast_cancer,1,1,selectkbest,0.842105,worst concave points
breast_cancer,1,1,mutual_info,0.877193,worst perimeter
breast_cancer,1,1,extra_trees,0.833333,worst radius
breast_cancer,1,1,rfe,0.877193,worst perimeter
breast_cancer,1,1,greedy_ftilde,0.842105,worst concave points
breast_cancer,1,1,greedy_f,0.877193,worst perimeter
breast_cancer,1,2,selectkbest,0.885965,worst concave points|worst perimeter
breast_cancer,1,2,mutual_info,0.850877,worst perimeter|worst area
breast_cancer,1,2,extra_trees,0.842105,worst radius|worst perimeter
breast_cancer,1,2,rfe,0.903509,worst texture|worst perimeter
breast_cancer,1,2,greedy_ftilde,0.929825,worst concave points|worst area
breast_cancer,1,2,greedy_f,0.912281,worst perimeter|mean symmetry
breast_cancer,1,3,selectkbest,0.912281,worst concave points|worst perimeter|worst radius
breast_cancer,1,3,mutual_info,0.859649,worst perimeter|worst area|worst radius
breast_cancer,1,3,extra_trees,0.912281,worst radius|worst perimeter|worst concave points
breast_cancer,1,3,rfe,0.938596,worst texture|worst perimeter|worst concave points
breast_cancer,1,3,greedy_ftilde,0.921053,worst concave points|worst area|mean perimeter
breast_cancer,1,3,greedy_f,0.938596,worst perimeter|mean symmetry|concave points error
breast_cancer,1,4,selectkbest,0.921053,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,1,4,mutual_info,0.929825,worst perimeter|worst area|worst radius|worst concave points
breast_cancer,1,4,extra_trees,0.929825,worst radius|worst perimeter|worst concave points|worst area
breast_cancer,1,4,rfe,0.956140,concave points error|worst texture|worst perimeter|worst concave points
breast_cancer,1,4,greedy_ftilde,0.947368,worst concave points|worst area|mean perimeter|perimeter error
breast_cancer,1,4,greedy_f,0.947368,worst perimeter|mean symmetry|concave points error|smoothness error
breast_cancer,1,5,selectkbest,0.885965,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,1,5,mutual_info,0.903509,worst perimeter|worst area|worst radius|worst concave points|mean concave points
breast_cancer,1,5,extra_trees,0.903509,worst radius|worst perimeter|worst concave points|worst area|mean concave points
breast_cancer,1,5,rfe,0.956140,mean concave points|concave points error|worst texture|worst perimeter|worst concave points
breast_cancer,1,5,greedy_ftilde,0.947368,worst concave points|worst area|mean perimeter|perimeter error|mean compactness
breast_cancer,1,5,greedy_f,0.947368,worst perimeter|mean symmetry|concave points error|smoothness error|worst texture
breast_cancer,1,6,selectkbest,0.912281,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|mean radius
breast_cancer,1,6,mutual_info,0.894737,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter
breast_cancer,1,6,extra_trees,0.912281,worst radius|worst perimeter|worst concave points|worst area|mean concave points|mean concavity
breast_cancer,1,6,rfe,0.947368,mean concave points|concave points error|worst texture|worst perimeter|worst smoothness|worst concave points
breast_cancer,1,6,greedy_ftilde,0.929825,worst concave points|worst area|mean perimeter|perimeter error|mean compactness|mean radius
breast_cancer,1,6,greedy_f,0.956140,worst perimeter|mean symmetry|concave points error|smoothness error|worst texture|worst compactness
breast_cancer,1,7,selectkbest,0.938596,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|mean radius|worst area
breast_cancer,1,7,mutual_info,0.894737,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter|mean concavity
breast_cancer,1,7,extra_trees,0.894737,worst radius|worst perimeter|worst concave points|worst area|mean concave points|mean concavity|mean radius
breast_cancer,1,7,rfe,0.947368,mean concave points|area error|concave points error|worst texture|worst perimeter|worst smoothness|worst concave points
breast_cancer,1,7,greedy_ftilde,0.903509,worst concave points|worst area|mean perimeter|perimeter error|mean compactness|mean radius|worst fractal dimension
breast_cancer,1,7,greedy_f,0.973684,worst perimeter|mean symmetry|concave points error|smoothness error|worst texture|worst compactness|area error
breast_cancer,2,1,selectkbest,0.912281,worst concave points
breast_cancer,2,1,mutual_info,0.859649,worst perimeter
breast_cancer,2,1,extra_trees,0.859649,worst radius
breast_cancer,2,1,rfe,0.859649,worst perimeter
breast_cancer,2,1,greedy_ftilde,0.859649,worst perimeter
breast_cancer,2,1,greedy_f,0.912281,worst concave points
breast_cancer,2,2,selectkbest,0.885965,worst concave points|worst perimeter
breast_cancer,2,2,mutual_info,0.850877,worst perimeter|worst area
breast_cancer,2,2,extra_trees,0.850877,worst radius|worst perimeter
breast_cancer,2,2,rfe,0.894737,worst texture|worst perimeter
breast_cancer,2,2,greedy_ftilde,0.903509,worst perimeter|worst fractal dimension
breast_cancer,2,2,greedy_f,0.956140,worst concave points|concave points error
breast_cancer,2,3,selectkbest,0.903509,worst concave points|worst perimeter|worst radius
breast_cancer,2,3,mutual_info,0.859649,worst perimeter|worst area|worst radius
breast_cancer,2,3,extra_trees,0.903509,worst radius|worst perimeter|worst concave points
breast_cancer,2,3,rfe,0.912281,worst texture|worst perimeter|worst concave points
breast_cancer,2,3,greedy_ftilde,0.894737,worst perimeter|worst fractal dimension|worst concavity
breast_cancer,2,3,greedy_f,0.947368,worst concave points|concave points error|mean symmetry
breast_cancer,2,4,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,2,4,mutual_info,0.912281,worst perimeter|worst area|worst radius|mean concave points
breast_cancer,2,4,extra_trees,0.921053,worst radius|worst perimeter|worst concave points|worst area
breast_cancer,2,4,rfe,0.929825,mean smoothness|worst texture|worst perimeter|worst concave points
breast_cancer,2,4,greedy_ftilde,0.929825,worst perimeter|worst fractal dimension|worst concavity|mean smoothness
breast_cancer,2,4,greedy_f,0.947368,worst concave points|concave points error|mean symmetry|concavity error
breast_cancer,2,5,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,2,5,mutual_info,0.938596,worst perimeter|worst area|worst radius|mean concave points|worst concave points
breast_cancer,2,5,extra_trees,0.938596,worst radius|worst perimeter|worst concave points|worst area|mean concave points
breast_cancer,2,5,rfe,0.921053,mean smoothness|worst texture|worst perimeter|worst area|worst concave points
breast_cancer,2,5,greedy_ftilde,0.921053,worst perimeter|worst fractal dimension|worst concavity|mean smoothness|area error
breast_cancer,2,5,greedy_f,0.956140,worst concave points|concave points error|mean symmetry|concavity error|texture error
breast_cancer,2,6,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area
breast_cancer,2,6,mutual_info,0.929825,worst perimeter|worst area|worst radius|mean concave points|worst concave points|mean perimeter
breast_cancer,2,6,extra_trees,0.938596,worst radius|worst perimeter|worst concave points|worst area|mean concave points|mean concavity
breast_cancer,2,6,rfe,0.929825,mean smoothness|worst texture|worst perimeter|worst area|worst concave points|worst fractal dimension
