dataset,seed,model,n_train,n_test,n_features,eps,f_empty,ftilde_empty,nonpos_steps_K7,celf_agree_steps_ftilde,celf_agree_steps_f,celf_ratio_K7,exact_ratio_K7,n_evals_f,n_evals_ftilde,seconds
airline,0,make_tree,20300,5075,22,0.00019704433,0.573596,0.567192,0,3,3,0.998110,0.997715,166,147,27.9
airline,1,make_tree,20300,5075,22,0.00019704433,0.560591,0.570443,0,3,4,0.996428,0.996040,181,148,27.2
airline,2,make_tree,20300,5075,22,0.00019704433,0.573990,0.567094,0,3,3,0.990157,1.000000,192,147,25.3
airline,3,make_tree,20300,5075,22,0.00019704433,0.564138,0.569557,0,3,3,0.990776,0.994194,165,145,25.6
airline,4,make_tree,20300,5075,22,0.00019704433,0.560788,0.570394,0,3,3,0.999580,1.001254,192,148,26.1
airline,5,make_tree,20300,5075,22,0.00019704433,0.575369,0.566749,0,3,3,1.001063,0.997089,198,151,29.9
airline,6,make_tree,20300,5075,22,0.00019704433,0.568079,0.568571,0,3,4,0.998727,0.997921,191,145,24.3
airline,7,make_tree,20300,5075,22,0.00019704433,0.570837,0.567882,0,3,3,0.997893,0.998752,177,148,24.5
airline,8,make_tree,20300,5075,22,0.00019704433,0.576158,0.566552,0,3,3,1.001263,0.997927,193,147,24.6
airline,9,make_tree,20300,5075,22,0.00019704433,0.577931,0.566108,0,3,4,1.002951,1.001252,194,151,27.4
airline,10,make_tree,20300,5075,22,0.00019704433,0.566700,0.568916,0,3,3,1.007202,1.001674,200,149,14.2
airline,11,make_tree,20300,5075,22,0.00019704433,0.560000,0.570591,0,3,3,1.003589,1.000000,147,147,12.9
airline,12,make_tree,20300,5075,22,0.00019704433,0.568079,0.568571,0,3,3,1.003606,0.998120,181,148,13.6
airline,13,make_tree,20300,5075,22,0.00019704433,0.570443,0.567980,0,3,3,1.007231,1.000209,200,151,13.6
airline,14,make_tree,20300,5075,22,0.00019704433,0.562365,0.570000,0,3,4,1.002106,0.997920,180,151,13.4
airline,15,make_tree,20300,5075,22,0.00019704433,0.566502,0.568966,0,3,5,0.995152,0.998541,168,146,12.0
airline,16,make_tree,20300,5075,22,0.00019704433,0.567685,0.568670,0,3,3,0.999577,0.994998,161,152,12.3
airline,17,make_tree,20300,5075,22,0.00019704433,0.575567,0.566700,0,3,3,0.992000,0.997715,164,149,12.5
airline,18,make_tree,20300,5075,22,0.00019704433,0.572611,0.567438,0,3,3,1.001685,1.002501,196,149,13.4
airline,19,make_tree,20300,5075,22,0.00019704433,0.576946,0.566355,0,3,4,1.002542,1.002923,198,144,13.5
airline,20,make_tree,20300,5075,22,0.00019704433,0.569261,0.568276,0,3,3,1.004439,0.998748,200,146,12.2
airline,21,make_tree,20300,5075,22,0.00019704433,0.566305,0.569015,0,3,3,1.007585,0.998127,175,148,12.2
airline,22,make_tree,20300,5075,22,0.00019704433,0.566502,0.568966,0,3,3,1.004678,0.999791,180,146,12.7
airline,23,make_tree,20300,5075,22,0.00019704433,0.564532,0.569458,0,3,3,1.001061,0.996040,175,145,12.6
airline,24,make_tree,20300,5075,22,0.00019704433,0.569064,0.568325,0,3,3,1.006174,1.000000,146,149,11.7
airline,25,make_tree,20300,5075,22,0.00019704433,0.567882,0.568621,0,3,4,1.005306,0.999792,178,146,13.7
airline,26,make_tree,20300,5075,22,0.00019704433,0.571823,0.567635,0,3,3,0.993888,1.003352,180,144,14.4
airline,27,make_tree,20300,5075,22,0.00019704433,0.576946,0.566355,0,3,3,1.001912,0.999162,176,152,17.6
airline,28,make_tree,20300,5075,22,0.00019704433,0.571429,0.567734,0,3,3,1.004032,0.999375,175,145,15.1
airline,29,make_tree,20300,5075,22,0.00019704433,0.570837,0.567882,0,3,4,0.996625,1.001036,189,144,13.0
wine,0,make_tree,142,36,13,0.027777778,0.444444,0.387438,2,3,1,1.029412,1.000000,145,78,1.8
wine,1,make_tree,142,36,13,0.027777778,0.361111,0.408374,3,6,3,0.944444,0.944444,128,72,1.7
wine,2,make_tree,142,36,13,0.027777778,0.250000,0.436700,3,5,3,0.971429,1.000000,122,78,1.8
wine,3,make_tree,142,36,13,0.027777778,0.388889,0.401478,3,4,3,1.030303,1.030303,105,73,1.5
wine,4,make_tree,142,36,13,0.027777778,0.361111,0.408374,4,3,4,0.944444,0.944444,117,74,1.5
wine,5,make_tree,142,36,13,0.027777778,0.305556,0.422660,4,5,4,1.000000,0.969697,130,72,1.5
wine,6,make_tree,142,36,13,0.027777778,0.388889,0.401232,5,3,4,1.090909,0.916667,135,74,1.5
wine,7,make_tree,142,36,13,0.027777778,0.472222,0.380296,4,3,4,0.911765,0.885714,136,71,1.5
wine,8,make_tree,142,36,13,0.027777778,0.388889,0.401724,3,3,5,0.971429,0.971429,116,77,1.5
wine,9,make_tree,142,36,13,0.027777778,0.305556,0.422660,3,5,3,0.916667,0.888889,124,77,1.5
wine,10,make_tree,142,36,13,0.027777778,0.500000,0.373153,4,3,3,1.030303,0.970588,108,75,1.4
wine,11,make_tree,142,36,13,0.027777778,0.416667,0.394335,4,4,3,1.000000,0.942857,129,73,1.6
wine,12,make_tree,142,36,13,0.027777778,0.305556,0.422660,4,3,4,1.000000,0.970588,117,77,1.4
wine,13,make_tree,142,36,13,0.027777778,0.416667,0.394335,4,2,3,0.911765,0.861111,130,79,1.5
wine,14,make_tree,142,36,13,0.027777778,0.444444,0.387438,4,3,4,0.944444,0.916667,107,74,1.4
wine,15,make_tree,142,36,13,0.027777778,0.333333,0.415764,2,1,3,0.942857,1.000000,134,89,1.8
wine,16,make_tree,142,36,13,0.027777778,0.277778,0.429557,4,3,3,1.000000,0.852941,133,73,1.5
wine,17,make_tree,142,36,13,0.027777778,0.444444,0.387438,4,2,3,1.058824,0.972222,137,78,1.6
wine,18,make_tree,142,36,13,0.027777778,0.388889,0.401724,4,4,5,0.939394,0.911765,115,73,1.5
wine,19,make_tree,142,36,13,0.027777778,0.472222,0.380296,3,4,3,1.000000,0.970588,117,72,1.4
wine,20,make_tree,142,36,13,0.027777778,0.472222,0.380296,4,5,5,0.970588,0.970588,128,72,1.4
wine,21,make_tree,142,36,13,0.027777778,0.277778,0.429803,3,2,3,0.969697,0.939394,130,80,1.7
wine,22,make_tree,142,36,13,0.027777778,0.444444,0.387438,5,4,2,1.000000,0.970588,108,77,1.5
wine,23,make_tree,142,36,13,0.027777778,0.416667,0.394335,3,6,2,1.029412,0.972222,131,71,1.3
wine,24,make_tree,142,36,13,0.027777778,0.388889,0.401232,4,3,5,0.970588,1.000000,107,79,1.5
wine,25,make_tree,142,36,13,0.027777778,0.500000,0.373153,3,4,3,0.971429,0.944444,108,74,1.3
wine,26,make_tree,142,36,13,0.027777778,0.416667,0.394335,4,6,2,1.029412,0.888889,104,71,1.3
wine,27,make_tree,142,36,13,0.027777778,0.416667,0.394335,5,4,3,0.942857,0.944444,108,73,1.4
wine,28,make_tree,142,36,13,0.027777778,0.472222,0.380296,3,3,4,0.885714,0.885714,131,75,1.5
wine,29,make_tree,142,36,13,0.027777778,0.305556,0.422660,4,3,4,0.882353,0.941176,129,81,1.5
digits20,0,make_tree,1437,360,20,0.0027777778,0.080556,0.107167,0,1,3,1.000000,0.994845,219,133,4.1
digits20,1,make_tree,1437,360,20,0.0027777778,0.083333,0.105776,0,4,5,1.048913,1.014851,203,135,4.2
digits20,2,make_tree,1437,360,20,0.0027777778,0.077778,0.105773,0,2,4,1.005025,0.906542,221,135,4.4
digits20,3,make_tree,1437,360,20,0.0027777778,0.069444,0.108561,1,7,3,1.081871,0.958549,205,120,4.2
digits20,4,make_tree,1437,360,20,0.0027777778,0.088889,0.104384,0,1,4,1.025126,0.971429,188,141,4.6
digits20,5,make_tree,1437,360,20,0.0027777778,0.083333,0.104384,1,2,3,0.989362,0.948980,207,134,4.6
digits20,6,make_tree,1437,360,20,0.0027777778,0.088889,0.104384,0,1,1,1.070270,0.985075,196,138,4.9
digits20,7,make_tree,1437,360,20,0.0027777778,0.077778,0.107167,1,4,1,0.945274,1.065934,212,121,4.5
digits20,8,make_tree,1437,360,20,0.0027777778,0.072222,0.107864,0,2,3,0.962567,0.894737,208,133,4.3
digits20,9,make_tree,1437,360,20,0.0027777778,0.080556,0.105773,3,7,5,0.909574,0.846535,198,120,4.2
digits20,10,make_tree,1437,360,20,0.0027777778,0.088889,0.104384,0,4,4,0.940217,0.967391,226,127,4.5
digits20,11,make_tree,1437,360,20,0.0027777778,0.075000,0.107864,1,1,4,0.940299,0.904523,203,141,4.4
digits20,12,make_tree,1437,360,20,0.0027777778,0.080556,0.105773,1,1,1,1.000000,0.942029,232,134,4.5
digits20,13,make_tree,1437,360,20,0.0027777778,0.072222,0.106473,1,4,1,0.989189,1.094675,219,138,4.3
digits20,14,make_tree,1437,360,20,0.0027777778,0.077778,0.107167,0,3,6,0.938144,0.985075,197,134,4.0
digits20,15,make_tree,1437,360,20,0.0027777778,0.075000,0.108561,0,1,3,0.984456,0.995169,203,137,4.3
digits20,16,make_tree,1437,360,20,0.0027777778,0.083333,0.105773,0,5,2,1.000000,1.000000,227,124,4.3
digits20,17,make_tree,1437,360,20,0.0027777778,0.088889,0.102294,1,5,2,0.944162,1.162651,238,126,4.2
digits20,18,make_tree,1437,360,20,0.0027777778,0.083333,0.104384,1,3,5,1.048387,0.876190,175,123,4.1
digits20,19,make_tree,1437,360,20,0.0027777778,0.083333,0.105079,1,1,4,1.074534,0.939086,221,136,4.4
digits20,20,make_tree,1437,360,20,0.0027777778,0.086111,0.105081,1,3,3,1.178571,0.951691,206,128,4.1
digits20,21,make_tree,1437,360,20,0.0027777778,0.080556,0.103688,1,3,4,0.961905,0.952830,226,138,4.2
digits20,22,make_tree,1437,360,20,0.0027777778,0.086111,0.104384,0,5,3,1.068182,0.931373,190,127,3.9
digits20,23,make_tree,1437,360,20,0.0027777778,0.080556,0.107169,0,1,2,0.958974,0.979275,190,135,4.1
digits20,24,make_tree,1437,360,20,0.0027777778,0.072222,0.106470,2,3,4,1.043243,0.886139,208,129,4.0
digits20,25,make_tree,1437,360,20,0.0027777778,0.100000,0.100905,0,4,5,0.879397,0.961722,218,124,4.0
digits20,26,make_tree,1437,360,20,0.0027777778,0.086111,0.102296,1,2,3,1.036458,0.879808,219,135,4.1
digits20,27,make_tree,1437,360,20,0.0027777778,0.072222,0.106473,0,1,4,1.231707,0.958549,203,136,5.3
digits20,28,make_tree,1437,360,20,0.0027777778,0.069444,0.109255,0,3,4,0.994595,0.984772,220,136,5.6
digits20,29,make_tree,1437,360,20,0.0027777778,0.072222,0.107864,0,6,4,1.054054,0.920792,224,120,5.4
breast_cancer,0,make_tree,455,114,30,0.0087719298,0.587719,0.637363,2,3,1,1.000000,0.954545,395,195,8.2
breast_cancer,1,make_tree,455,114,30,0.0087719298,0.631579,0.626374,4,3,2,1.000000,0.927928,373,199,6.1
breast_cancer,2,make_tree,455,114,30,0.0087719298,0.605263,0.632967,4,1,3,0.981308,0.945455,372,207,6.0
breast_cancer,3,make_tree,455,114,30,0.0087719298,0.649123,0.621978,4,2,2,1.018868,0.963964,375,215,6.4
breast_cancer,4,make_tree,455,114,30,0.0087719298,0.701754,0.608791,3,3,1,0.962617,0.927273,372,221,6.5
breast_cancer,5,make_tree,455,114,30,0.0087719298,0.578947,0.639560,3,2,1,1.000000,0.972973,374,199,5.8
breast_cancer,6,make_tree,455,114,30,0.0087719298,0.508772,0.657143,3,1,4,1.018692,1.000000,371,210,6.2
breast_cancer,7,make_tree,455,114,30,0.0087719298,0.649123,0.621978,4,1,2,0.972222,0.938053,331,213,6.1
breast_cancer,8,make_tree,455,114,30,0.0087719298,0.596491,0.635165,4,1,4,0.955357,0.972973,370,211,7.2
breast_cancer,9,make_tree,455,114,30,0.0087719298,0.649123,0.621978,4,1,2,0.954128,0.945946,372,212,6.7
breast_cancer,10,make_tree,455,114,30,0.0087719298,0.657895,0.619780,4,2,1,0.972477,0.964286,360,203,5.7
breast_cancer,11,make_tree,455,114,30,0.0087719298,0.666667,0.617582,3,1,3,1.000000,0.982143,354,212,6.7
breast_cancer,12,make_tree,455,114,30,0.0087719298,0.578947,0.639560,3,2,2,0.944954,0.972973,363,196,7.0
breast_cancer,13,make_tree,455,114,30,0.0087719298,0.684211,0.613187,1,3,1,0.925926,0.900901,356,199,7.0
breast_cancer,14,make_tree,455,114,30,0.0087719298,0.640351,0.624176,2,1,2,0.963303,0.963964,355,214,6.6
breast_cancer,15,make_tree,455,114,30,0.0087719298,0.657895,0.619780,1,1,3,0.971429,0.990741,357,209,6.1
breast_cancer,16,make_tree,455,114,30,0.0087719298,0.640351,0.624176,2,3,2,1.009346,0.919643,354,198,6.0
breast_cancer,17,make_tree,455,114,30,0.0087719298,0.666667,0.617582,4,3,2,1.018868,0.954955,362,203,6.0
breast_cancer,18,make_tree,455,114,30,0.0087719298,0.578947,0.639560,4,1,2,0.963303,0.911504,309,215,6.2
breast_cancer,19,make_tree,455,114,30,0.0087719298,0.605263,0.632967,3,2,2,0.981818,0.981818,365,205,6.1
breast_cancer,20,make_tree,455,114,30,0.0087719298,0.578947,0.639560,4,4,2,0.981481,0.928571,353,192,5.3
breast_cancer,21,make_tree,455,114,30,0.0087719298,0.657895,0.619780,3,1,2,0.963636,0.954955,354,216,6.5
breast_cancer,22,make_tree,455,114,30,0.0087719298,0.622807,0.628571,4,1,2,0.972727,0.954955,356,201,6.4
breast_cancer,23,make_tree,455,114,30,0.0087719298,0.657895,0.619780,3,2,4,1.000000,0.946429,353,203,6.5
breast_cancer,24,make_tree,455,114,30,0.0087719298,0.640351,0.624176,4,1,1,0.972727,1.000000,307,211,8.2
breast_cancer,25,make_tree,455,114,30,0.0087719298,0.657895,0.619780,5,1,1,0.962963,0.954545,363,210,7.7
breast_cancer,26,make_tree,455,114,30,0.0087719298,0.649123,0.621978,3,3,2,0.981651,0.973684,363,197,7.9
breast_cancer,27,make_tree,455,114,30,0.0087719298,0.605263,0.632967,3,3,3,0.990909,0.963964,355,202,6.3
breast_cancer,28,make_tree,455,114,30,0.0087719298,0.640351,0.624176,4,2,3,1.000000,0.881818,350,203,7.8
breast_cancer,29,make_tree,455,114,30,0.0087719298,0.657895,0.619780,3,3,1,1.018868,0.982143,329,202,6.7
