dataset,seed,K,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,acc_greedy_ftilde,acc_greedy_f
wine,0,1,0.880000,1.5,4.51862,15.38,0.611111,0.694444
wine,0,2,0.937500,1.5,11.4834,12.00,0.833333,0.888889
wine,0,3,0.909091,1.5,11.4834,13.79,0.833333,0.916667
wine,0,4,1.000000,1.5,11.4834,18.18,0.944444,0.944444
wine,0,5,1.000000,1.5,11.4834,17.65,0.944444,0.944444
wine,0,6,0.971429,1.5,11.4834,16.67,0.944444,0.972222
wine,0,7,0.971429,1.5,11.4834,15.79,0.944444,0.972222
breast_cancer,0,1,0.971429,1.08571,4.28571,16.67,0.894737,0.921053
breast_cancer,0,2,1.000000,1.08571,18.8889,12.28,0.956140,0.956140
breast_cancer,0,3,0.963636,1.08571,18.8889,19.74,0.929825,0.964912
breast_cancer,0,4,0.972973,2,18.8889,18.63,0.947368,0.973684
breast_cancer,0,5,0.981982,3,18.8889,27.64,0.956140,0.973684
breast_cancer,0,6,0.981982,3,18.8889,29.41,0.956140,0.973684
breast_cancer,0,7,0.990991,3,18.8889,29.33,0.964912,0.973684
airline,0,1,1.000000,1,1.54343,0.00,0.782069,0.782069
airline,0,2,1.000000,1,6.27149,2.56,0.847291,0.847291
airline,0,3,1.000000,1,9.15385,5.26,0.890049,0.890049
airline,0,4,1.000000,1,9.15385,9.33,0.917833,0.917833
airline,0,5,1.000000,1,24.5,13.04,0.926700,0.926700
airline,0,6,0.998733,1.24,24.5,12.84,0.931626,0.932808
airline,0,7,0.999579,1.24,26.9231,12.00,0.936158,0.936552
