dataset,seed,K,opt,f_greedy_f,f_greedy_ftilde,greedy_f_over_opt,greedy_ftilde_over_opt
breast_cancer,0,1,0.885965,0.885965,0.877193,1.000000,0.990099
breast_cancer,0,2,0.964912,0.956140,0.903509,0.990909,0.936364
breast_cancer,0,3,0.982456,0.964912,0.912281,0.982143,0.928571
breast_cancer,0,4,0.991228,0.973684,0.903509,0.982301,0.911504
breast_cancer,1,1,0.877193,0.877193,0.842105,1.000000,0.960000
breast_cancer,1,2,0.929825,0.912281,0.929825,0.981132,1.000000
breast_cancer,1,3,0.964912,0.938596,0.921053,0.972727,0.954545
breast_cancer,1,4,0.973684,0.947368,0.947368,0.972973,0.972973
breast_cancer,2,1,0.912281,0.912281,0.859649,1.000000,0.942308
breast_cancer,2,2,0.956140,0.956140,0.903509,1.000000,0.944954
breast_cancer,2,3,0.964912,0.947368,0.894737,0.981818,0.927273
breast_cancer,2,4,0.982456,0.947368,0.929825,0.964286,0.946429
breast_cancer,3,1,0.868421,0.868421,0.868421,1.000000,1.000000
breast_cancer,3,2,0.938596,0.938596,0.938596,1.000000,1.000000
breast_cancer,3,3,0.964912,0.964912,0.929825,1.000000,0.963636
breast_cancer,3,4,0.973684,0.973684,0.938596,1.000000,0.963964
breast_cancer,4,1,0.938596,0.938596,0.850877,1.000000,0.906542
breast_cancer,4,2,0.947368,0.947368,0.894737,1.000000,0.944444
breast_cancer,4,3,0.964912,0.947368,0.938596,0.981818,0.972727
breast_cancer,4,4,0.973684,0.964912,0.894737,0.990991,0.918919
breast_cancer,5,1,0.912281,0.912281,0.877193,1.000000,0.961538
breast_cancer,5,2,0.956140,0.956140,0.947368,1.000000,0.990826
breast_cancer,5,3,0.982456,0.973684,0.929825,0.991071,0.946429
breast_cancer,5,4,0.991228,0.973684,0.912281,0.982301,0.920354
breast_cancer,6,1,0.868421,0.868421,0.868421,1.000000,1.000000
breast_cancer,6,2,0.947368,0.929825,0.938596,0.981481,0.990741
breast_cancer,6,3,0.973684,0.938596,0.938596,0.963964,0.963964
breast_cancer,6,4,0.982456,0.938596,0.929825,0.955357,0.946429
breast_cancer,7,1,0.885965,0.885965,0.885965,1.000000,1.000000
breast_cancer,7,2,0.956140,0.956140,0.956140,1.000000,1.000000
breast_cancer,7,3,0.973684,0.964912,0.956140,0.990991,0.981982
breast_cancer,7,4,0.991228,0.982456,0.956140,0.991150,0.964602
breast_cancer,8,1,0.894737,0.894737,0.850877,1.000000,0.950980
breast_cancer,8,2,0.964912,0.964912,0.921053,1.000000,0.954545
breast_cancer,8,3,0.982456,0.964912,0.956140,0.982143,0.973214
breast_cancer,8,4,1.000000,0.973684,0.956140,0.973684,0.956140
breast_cancer,9,1,0.885965,0.885965,0.859649,1.000000,0.970297
breast_cancer,9,2,0.964912,0.938596,0.921053,0.972727,0.954545
breast_cancer,9,3,0.973684,0.947368,0.921053,0.972973,0.945946
breast_cancer,9,4,0.991228,0.973684,0.921053,0.982301,0.929204
