task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path
E1,wine,1,0,0.880000,1.5,7.81587,15.38,0.666667,0.127945
E1,wine,2,0,0.852941,1.5,44.2806,13.04,0.555556,0.022456
E1,wine,3,0,0.942857,1.5,44.2806,19.35,0.529492,0.022414
E1,wine,4,0,0.942857,1.5,44.2806,25.00,0.517747,0.022393
E1,wine,5,0,0.942857,1.5,44.2806,30.00,0.511054,0.022380
E1,wine,6,0,0.944444,1.5,44.2806,33.33,0.506730,0.022372
E1,wine,7,0,1.000000,1.5,44.2806,34.04,0.503705,0.022366
E1,wine,1,1,0.851852,1.4,20.1954,15.38,0.714286,0.049516
E1,wine,2,1,0.885714,1.5,20.1954,12.00,0.555556,0.048903
E1,wine,3,1,0.916667,2.5,20.1954,10.00,0.349037,0.048703
E1,wine,4,1,0.916667,2.5,20.1954,17.14,0.343900,0.048604
E1,wine,5,1,0.944444,3,20.1954,20.51,0.291754,0.048545
E1,wine,6,1,0.944444,3,20.1954,19.51,0.290327,0.048506
E1,wine,7,1,0.944444,3,20.1954,20.00,0.289319,0.048478
E1,wine,1,2,1.000000,1,2.65204,15.38,1.000000,0.377068
E1,wine,2,2,0.903226,4,26.6051,20.00,0.234375,0.037234
E1,wine,3,2,0.970588,4,26.6667,25.71,0.229745,0.037033
E1,wine,4,2,0.970588,4,26.6667,27.50,0.227524,0.036976
E1,wine,5,2,0.970588,4,26.6667,30.95,0.226219,0.036942
E1,wine,6,2,0.970588,4,26.6667,34.09,0.225361,0.036919
E1,wine,7,2,1.000000,4,26.6667,38.00,0.224753,0.036903
E1,wine,1,3,1.000000,1,4.00949,0.00,1.000000,0.249408
E1,wine,2,3,1.000000,1,4.00949,8.33,0.750000,0.233857
E1,wine,3,3,1.000000,1,5.71519,18.75,0.703704,0.164966
E1,wine,4,3,1.000000,1,5.71519,16.67,0.683594,0.163823
E1,wine,5,3,0.970588,1,5.71519,16.67,0.672320,0.163147
E1,wine,6,3,1.000000,1,5.71519,22.22,0.665102,0.162701
E1,wine,7,3,1.030303,1,5.71519,21.43,0.660083,0.162385
E1,wine,1,4,1.000000,1,6.98297,7.69,1.000000,0.143206
E1,wine,2,4,0.942857,1.4,6.98297,16.67,0.586735,0.138079
E1,wine,3,4,0.916667,1.4,6.98297,20.00,0.557715,0.136478
E1,wine,4,4,0.916667,1.4,6.98297,25.71,0.544719,0.135697
E1,wine,5,4,0.944444,2,6.98297,29.27,0.409510,0.135234
E1,wine,6,4,0.944444,2,6.98297,31.11,0.406708,0.134928
E1,wine,7,4,0.944444,2,6.98297,29.79,0.404739,0.134710
E1,wine,1,5,0.962963,1.06667,8.34513,8.33,0.937500,0.119830
E1,wine,2,5,1.000000,1.06667,8.42183,12.50,0.717773,0.115214
E1,wine,3,5,0.941176,1.06667,8.42183,15.62,0.675049,0.114101
E1,wine,4,5,0.969697,1.06667,8.42183,15.15,0.656391,0.113556
E1,wine,5,5,1.000000,1.06667,8.42183,13.89,0.645907,0.113232
E1,wine,6,5,1.000000,1.06667,8.42183,17.50,0.639187,0.113017
E1,wine,7,5,0.969697,1.06667,8.42183,25.53,0.634510,0.112865
E1,wine,1,6,0.961538,1.09091,48.7671,0.00,0.916667,0.020506
E1,wine,2,6,1.000000,1.125,48.7671,20.00,0.691358,0.020400
E1,wine,3,6,0.942857,1.125,48.7671,23.53,0.651527,0.020366
E1,wine,4,6,0.942857,1.125,48.7671,25.00,0.634050,0.020348
E1,wine,5,6,0.942857,1.125,48.7671,25.00,0.624209,0.020338
E1,wine,6,6,0.942857,1.125,48.7671,27.08,0.617893,0.020331
E1,wine,7,6,0.916667,1.125,48.7671,29.41,0.613495,0.020326
E1,wine,1,7,0.961538,1.125,8.97516,30.77,0.888889,0.111419
E1,wine,2,7,0.969697,1.125,16.6404,29.17,0.691358,0.059192
E1,wine,3,7,0.942857,3,16.6404,42.42,0.297668,0.058899
E1,wine,4,7,0.942857,3,16.6404,38.46,0.293933,0.058754
E1,wine,5,7,0.885714,3,16.6404,35.56,0.291754,0.058668
E1,wine,6,7,0.885714,3,16.6404,38.30,0.290327,0.058610
E1,wine,7,7,0.885714,3,16.6404,39.58,0.289319,0.058569
E1,wine,1,8,1.000000,1,2.13735,15.38,1.000000,0.467870
E1,wine,2,8,0.968750,1.2,4.90221,20.00,0.659722,0.193587
E1,wine,3,8,0.970588,1.5,4.90221,16.13,0.529492,0.190433
E1,wine,4,8,0.971429,1.5,4.90221,20.00,0.517747,0.188909
E1,wine,5,8,0.971429,1.5,4.90221,16.28,0.511054,0.188010
E1,wine,6,8,0.971429,1.5,4.90221,15.91,0.506730,0.187418
E1,wine,7,8,0.971429,1.5,4.90221,15.91,0.503705,0.186997
E1,wine,1,9,1.000000,1,6.65789,7.69,1.000000,0.150198
E1,wine,2,9,0.968750,1.33333,14.7524,20.00,0.609375,0.066637
E1,wine,3,9,0.888889,4,14.7524,21.21,0.229745,0.066265
E1,wine,4,9,0.861111,4,14.7524,34.15,0.227524,0.066082
E1,wine,5,9,0.861111,4,14.7524,39.13,0.226219,0.065972
E1,wine,6,9,0.888889,4,14.7524,44.00,0.225361,0.065899
E1,wine,7,9,0.888889,4,14.7524,43.40,0.224753,0.065848
E1,wine,1,10,1.000000,1,8.2622,38.46,1.000000,0.121033
E1,wine,2,10,1.000000,1,12.8284,28.00,0.750000,0.076433
E1,wine,3,10,1.000000,1,12.8284,24.24,0.703704,0.075944
E1,wine,4,10,0.970588,1,12.8284,22.86,0.683594,0.075703
E1,wine,5,10,0.970588,1,12.8284,24.32,0.672320,0.075559
E1,wine,6,10,0.970588,1,12.8284,25.00,0.665102,0.075464
E1,wine,7,10,0.970588,1,12.8284,26.19,0.660083,0.075396
E1,wine,1,11,0.962963,1.09091,5.10642,15.38,0.916667,0.195832
E1,wine,2,11,0.942857,1.42857,8.78069,28.00,0.577500,0.110644
E1,wine,3,11,0.944444,2,9.47586,26.47,0.421296,0.101863
E1,wine,4,11,0.971429,2,9.47586,30.00,0.413818,0.101428
E1,wine,5,11,0.971429,2,9.47586,34.88,0.409510,0.101170
E1,wine,6,11,0.942857,2,9.47586,36.96,0.406708,0.100998
E1,wine,7,11,0.942857,2,9.47586,40.00,0.404739,0.100876
E1,wine,1,12,1.000000,1,5.36965,15.38,1.000000,0.186232
E1,wine,2,12,1.000000,1,6.99416,17.39,0.750000,0.137866
E1,wine,3,12,0.971429,1,6.99416,17.86,0.703704,0.136271
E1,wine,4,12,1.000000,1,6.99416,15.15,0.683594,0.135492
E1,wine,5,12,1.000000,1,6.99416,13.51,0.672320,0.135030
E1,wine,6,12,0.970588,1,6.99416,11.90,0.665102,0.134725
E1,wine,7,12,0.970588,1,6.99416,11.90,0.660083,0.134508
E1,wine,1,13,0.827586,1.55556,5.45,15.38,0.642857,0.183486
E1,wine,2,13,0.942857,1.55556,6.84673,28.00,0.539541,0.140722
E1,wine,3,13,0.916667,1.55556,6.84673,28.12,0.514942,0.139060
E1,wine,4,13,0.888889,1.55556,6.84673,39.02,0.503820,0.138248
E1,wine,5,13,0.861111,1.55556,6.84673,38.10,0.497473,0.137768
E1,wine,6,13,0.916667,1.55556,6.84673,44.90,0.493369,0.137450
E1,wine,7,13,0.861111,1.55556,6.84673,40.00,0.490496,0.137224
E1,wine,1,14,1.000000,1,2.81593,7.69,1.000000,0.355123
E1,wine,2,14,1.000000,1,5.53982,12.00,0.750000,0.172365
E1,wine,3,14,1.000000,1,5.53982,13.89,0.703704,0.169868
