dataset,method,p,seed,K,f_value
email_eu_core,greedy_f,,,1,334
email_eu_core,greedy_f,,,2,421
email_eu_core,greedy_f,,,3,480
email_eu_core,greedy_f,,,4,530
email_eu_core,greedy_f,,,5,576
email_eu_core,greedy_f,,,6,609
email_eu_core,greedy_f,,,7,636
email_eu_core,greedy_f,,,8,658
email_eu_core,greedy_f,,,9,675
email_eu_core,greedy_f,,,10,688
email_eu_core,greedy_f,,,11,700
email_eu_core,greedy_f,,,12,711
email_eu_core,greedy_f,,,13,721
email_eu_core,greedy_f,,,14,731
email_eu_core,greedy_f,,,15,741
email_eu_core,greedy_f,,,16,750
email_eu_core,greedy_f,,,17,759
email_eu_core,greedy_f,,,18,768
email_eu_core,greedy_f,,,19,775
email_eu_core,greedy_f,,,20,782
email_eu_core,greedy_f,,,21,788
email_eu_core,greedy_f,,,22,794
email_eu_core,greedy_f,,,23,800
email_eu_core,greedy_f,,,24,805
email_eu_core,greedy_f,,,25,810
email_eu_core,greedy_f,,,26,815
email_eu_core,greedy_f,,,27,819
email_eu_core,greedy_f,,,28,823
email_eu_core,greedy_f,,,29,827
email_eu_core,greedy_f,,,30,831
email_eu_core,random,,0,1,7
email_eu_core,random,,0,2,22
email_eu_core,random,,0,3,23
email_eu_core,random,,0,4,77
email_eu_core,random,,0,5,78
email_eu_core,random,,0,6,108
email_eu_core,random,,0,7,113
email_eu_core,random,,0,8,133
email_eu_core,random,,0,9,142
email_eu_core,random,,0,10,150
email_eu_core,random,,0,11,151
email_eu_core,random,,0,12,154
email_eu_core,random,,0,13,157
email_eu_core,random,,0,14,160
email_eu_core,random,,0,15,195
email_eu_core,random,,0,16,205
email_eu_core,random,,0,17,206
email_eu_core,random,,0,18,207
email_eu_core,random,,0,19,209
email_eu_core,random,,0,20,285
email_eu_core,random,,0,21,307
email_eu_core,random,,0,22,307
email_eu_core,random,,0,23,308
email_eu_core,random,,0,24,309
email_eu_core,random,,0,25,310
email_eu_core,random,,0,26,317
email_eu_core,random,,0,27,411
email_eu_core,random,,0,28,422
email_eu_core,random,,0,29,423
email_eu_core,random,,0,30,424
email_eu_core,random,,1,1,3
email_eu_core,random,,1,2,115
email_eu_core,random,,1,3,116
email_eu_core,random,,1,4,117
email_eu_core,random,,1,5,131
email_eu_core,random,,1,6,140
email_eu_core,random,,1,7,141
email_eu_core,random,,1,8,171
email_eu_core,random,,1,9,172
email_eu_core,random,,1,10,177
email_eu_core,random,,1,11,206
email_eu_core,random,,1,12,212
email_eu_core,random,,1,13,256
email_eu_core,random,,1,14,310
email_eu_core,random,,1,15,311
email_eu_core,random,,1,16,315
email_eu_core,random,,1,17,372
email_eu_core,random,,1,18,376
email_eu_core,random,,1,19,384
email_eu_core,random,,1,20,395
email_eu_core,random,,1,21,405
email_eu_core,random,,1,22,407
email_eu_core,random,,1,23,411
email_eu_core,random,,1,24,418
email_eu_core,random,,1,25,419
email_eu_core,random,,1,26,429
email_eu_core,random,,1,27,435
email_eu_core,random,,1,28,442
email_eu_core,random,,1,29,446
email_eu_core,random,,1,30,455
email_eu_core,random,,2,1,9
email_eu_core,random,,2,2,86
email_eu_core,random,,2,3,90
email_eu_core,random,,2,4,106
email_eu_core,random,,2,5,141
email_eu_core,random,,2,6,148
email_eu_core,random,,2,7,158
email_eu_core,random,,2,8,190
email_eu_core,random,,2,9,219
email_eu_core,random,,2,10,247
email_eu_core,random,,2,11,252
email_eu_core,random,,2,12,253
email_eu_core,random,,2,13,254
email_eu_core,random,,2,14,262
email_eu_core,random,,2,15,275
email_eu_core,random,,2,16,279
email_eu_core,random,,2,17,297
email_eu_core,random,,2,18,303
email_eu_core,random,,2,19,304
email_eu_core,random,,2,20,323
email_eu_core,random,,2,21,324
email_eu_core,random,,2,22,325
email_eu_core,random,,2,23,338
email_eu_core,random,,2,24,345
email_eu_core,random,,2,25,348
email_eu_core,random,,2,26,363
email_eu_core,random,,2,27,365
email_eu_core,random,,2,28,365
email_eu_core,random,,2,29,366
email_eu_core,random,,2,30,383
email_eu_core,random,,3,1,1
email_eu_core,random,,3,2,15
email_eu_core,random,,3,3,164
email_eu_core,random,,3,4,174
email_eu_core,random,,3,5,191
email_eu_core,random,,3,6,204
email_eu_core,random,,3,7,219
email_eu_core,random,,3,8,236
email_eu_core,random,,3,9,238
email_eu_core,random,,3,10,253
email_eu_core,random,,3,11,267
email_eu_core,random,,3,12,303
email_eu_core,random,,3,13,337
email_eu_core,random,,3,14,340
email_eu_core,random,,3,15,347
email_eu_core,random,,3,16,383
email_eu_core,random,,3,17,384
email_eu_core,random,,3,18,402
email_eu_core,random,,3,19,408
email_eu_core,random,,3,20,410
email_eu_core,random,,3,21,430
email_eu_core,random,,3,22,432
email_eu_core,random,,3,23,433
email_eu_core,random,,3,24,439
email_eu_core,random,,3,25,453
email_eu_core,random,,3,26,463
email_eu_core,random,,3,27,464
email_eu_core,random,,3,28,469
email_eu_core,random,,3,29,470
email_eu_core,random,,3,30,471
email_eu_core,random,,4,1,15
email_eu_core,random,,4,2,79
email_eu_core,random,,4,3,95
email_eu_core,random,,4,4,97
email_eu_core,random,,4,5,142
email_eu_core,random,,4,6,153
email_eu_core,random,,4,7,158
email_eu_core,random,,4,8,159
email_eu_core,random,,4,9,170
email_eu_core,random,,4,10,171
email_eu_core,random,,4,11,180
email_eu_core,random,,4,12,185
email_eu_core,random,,4,13,188
email_eu_core,random,,4,14,199
email_eu_core,random,,4,15,209
email_eu_core,random,,4,16,218
email_eu_core,random,,4,17,242
email_eu_core,random,,4,18,247
email_eu_core,random,,4,19,248
email_eu_core,random,,4,20,249
email_eu_core,random,,4,21,257
email_eu_core,random,,4,22,272
email_eu_core,random,,4,23,273
email_eu_core,random,,4,24,280
email_eu_core,random,,4,25,284
email_eu_core,random,,4,26,288
email_eu_core,random,,4,27,289
email_eu_core,random,,4,28,297
email_eu_core,random,,4,29,298
email_eu_core,random,,4,30,299
email_eu_core,random,,5,1,1
email_eu_core,random,,5,2,2
email_eu_core,random,,5,3,17
email_eu_core,random,,5,4,18
email_eu_core,random,,5,5,36
email_eu_core,random,,5,6,70
email_eu_core,random,,5,7,121
email_eu_core,random,,5,8,153
email_eu_core,random,,5,9,154
email_eu_core,random,,5,10,156
email_eu_core,random,,5,11,204
email_eu_core,random,,5,12,225
email_eu_core,random,,5,13,227
email_eu_core,random,,5,14,247
email_eu_core,random,,5,15,281
email_eu_core,random,,5,16,292
email_eu_core,random,,5,17,293
email_eu_core,random,,5,18,310
email_eu_core,random,,5,19,350
email_eu_core,random,,5,20,355
email_eu_core,random,,5,21,363
email_eu_core,random,,5,22,364
email_eu_core,random,,5,23,384
email_eu_core,random,,5,24,385
email_eu_core,random,,5,25,386
email_eu_core,random,,5,26,391
email_eu_core,random,,5,27,402
email_eu_core,random,,5,28,405
email_eu_core,random,,5,29,406
email_eu_core,random,,5,30,425
email_eu_core,random,,6,1,42
email_eu_core,random,,6,2,90
email_eu_core,random,,6,3,94
email_eu_core,random,,6,4,95
email_eu_core,random,,6,5,98
email_eu_core,random,,6,6,99
email_eu_core,random,,6,7,100
email_eu_core,random,,6,8,101
email_eu_core,random,,6,9,108
email_eu_core,random,,6,10,179
email_eu_core,random,,6,11,414
email_eu_core,random,,6,12,423
email_eu_core,random,,6,13,428
email_eu_core,random,,6,14,438
email_eu_core,random,,6,15,447
email_eu_core,random,,6,16,454
email_eu_core,random,,6,17,475
email_eu_core,random,,6,18,476
email_eu_core,random,,6,19,497
email_eu_core,random,,6,20,522
email_eu_core,random,,6,21,528
email_eu_core,random,,6,22,537
email_eu_core,random,,6,23,539
email_eu_core,random,,6,24,540
email_eu_core,random,,6,25,551
email_eu_core,random,,6,26,552
email_eu_core,random,,6,27,557
email_eu_core,random,,6,28,562
email_eu_core,random,,6,29,563
email_eu_core,random,,6,30,564
email_eu_core,random,,7,1,23
email_eu_core,random,,7,2,25
email_eu_core,random,,7,3,41
email_eu_core,random,,7,4,57
email_eu_core,random,,7,5,63
email_eu_core,random,,7,6,73
email_eu_core,random,,7,7,110
email_eu_core,random,,7,8,130
email_eu_core,random,,7,9,131
email_eu_core,random,,7,10,156
email_eu_core,random,,7,11,157
email_eu_core,random,,7,12,163
email_eu_core,random,,7,13,207
email_eu_core,random,,7,14,239
email_eu_core,random,,7,15,242
email_eu_core,random,,7,16,269
email_eu_core,random,,7,17,270
email_eu_core,random,,7,18,271
email_eu_core,random,,7,19,282
email_eu_core,random,,7,20,295
email_eu_core,random,,7,21,296
email_eu_core,random,,7,22,316
email_eu_core,random,,7,23,323
email_eu_core,random,,7,24,353
email_eu_core,random,,7,25,362
