dataset,p,n_runs,eta_sel_K30_median,eta_sel_K30_q25,eta_sel_K30_q75,eta_sel_K30_IQR,eta_path_K30_median,eta_path_K30_IQR,ratio_K30_median,ratio_K30_q25,ratio_K30_q75,LK_eta_sel_median
email_eu_core,0.3,20,10,8.75,10.625,1.875,143,49.5,0.945246,0.936221,0.950060,0.095314
email_eu_core,0.5,20,6.5,4.875,9,4.125,78.5,21.75,0.962696,0.959988,0.965704,0.142935
email_eu_core,0.8,20,2.25,2,2.75,0.750002,30,5.75,0.988568,0.986462,0.991877,0.360948
facebook_artist,0.3,20,3.83796,2.5723,219,216.428,2654,2535.12,0.962541,0.955917,0.971335,0.230253
facebook_artist,0.5,20,1.56519,1.5235,1.62565,0.102155,1407,630.5,0.988116,0.986848,0.989194,0.475758
facebook_artist,0.8,20,1.19128,1.1663,1.28179,0.11549,399,359,0.996958,0.995690,0.997972,0.573185
facebook_government,0.3,20,124,14.0625,133.5,119.437,979,724.5,0.881892,0.874967,0.887510,0.008033
facebook_government,0.5,20,11.7778,5.75197,19.4286,13.6766,683.75,466.625,0.939770,0.933107,0.942514,0.081512
facebook_government,0.8,20,1.41699,1.36083,1.46825,0.107415,225,61.375,0.990463,0.988242,0.992096,0.510394
facebook_politician,0.3,20,20.6,10.0417,30.875,20.8333,376,110.75,0.898532,0.893969,0.906765,0.047422
facebook_politician,0.5,20,11.6667,5.29615,15.8,10.5038,200,59.5,0.942377,0.936381,0.950161,0.082256
facebook_politician,0.8,20,1.89221,1.7325,2.01136,0.278863,68,16,0.987831,0.985773,0.990068,0.413271
