dataset,p,seed,K,eta_path_full,eta_path_top50,ratio_top50_over_full,eta_sel
facebook_politician,0.3,0,30,380,91,0.2395,22.2
facebook_politician,0.3,1,30,288,78.3158,0.2719,12.3333
facebook_politician,0.5,0,30,180,42.9,0.2383,22.5
facebook_politician,0.5,1,30,136,26.069,0.1917,13.4
facebook_politician,0.8,0,30,75,4.04483,0.0539,1.65217
facebook_politician,0.8,1,30,80,3.45882,0.0432,1.77778
facebook_government,0.3,0,30,560,54.5956,0.0975,10.88
facebook_government,0.3,1,30,390,101.029,0.2590,10.88
facebook_government,0.5,0,30,1200,171.094,0.1426,4.29412
facebook_government,0.5,1,30,720,172.465,0.2395,5.15789
facebook_government,0.8,0,30,315,74.0385,0.2350,1.41538
facebook_government,0.8,1,30,200,72.9167,0.3646,1.40541
facebook_artist,0.3,0,30,4686,765.356,0.1633,456
facebook_artist,0.5,0,30,2786,315.581,0.1133,1.45614
facebook_artist,0.8,0,30,678,1.61937,0.0024,1.18792
email_eu_core,0.3,0,30,156,49.2414,0.3156,8
email_eu_core,0.3,1,30,90,32,0.3556,10.5
email_eu_core,0.5,0,30,91,30.875,0.3393,9
email_eu_core,0.5,1,30,45,16.6393,0.3698,5
email_eu_core,0.8,0,30,30,8,0.2667,4
email_eu_core,0.8,1,30,25,10,0.4000,1.8
