task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E3,business_coverage,3,1,0.485162,3.17379,8.13176,0.00,0.283147,0.118003,0,0.000000
E3,business_coverage,4,1,0.575090,3.17379,21.655,2.56,0.279769,0.045385,0,0.000000
E3,business_coverage,5,1,0.525836,6.29719,21.655,10.53,0.149029,0.045334,0,0.000000
E3,business_coverage,6,1,0.473909,6.29719,21.655,16.22,0.148657,0.045299,1,0.166667
E3,business_coverage,7,1,0.421913,6.29719,21.655,19.84,0.148393,0.045275,2,0.285714
E3,business_diversity,3,1,0.528886,3.8818,26.2825,0.00,0.236124,0.037568,0,0.000000
E3,business_diversity,4,1,0.459825,13.765,32.7251,0.00,0.070693,0.030209,0,0.000000
E3,business_diversity,5,1,0.444820,13.765,32.7251,0.00,0.070567,0.030186,0,0.000000
E3,business_diversity,6,1,0.417031,14.746,32.7251,0.90,0.065927,0.030171,0,0.000000
E3,business_diversity,7,1,0.390117,14.746,32.7251,4.76,0.065875,0.030160,1,0.142857
E3,business_facility,3,1,0.543382,2.6076,27.1175,0.00,0.336561,0.036425,0,0.000000
E3,business_facility,4,1,0.520482,3.05862,41.6127,0.00,0.288999,0.023815,0,0.000000
E3,business_facility,5,1,0.461565,178.697,41.6127,5.26,0.005584,0.023801,0,0.000000
E3,business_facility,6,1,0.415954,178.697,41.6127,10.81,0.005583,0.023792,1,0.166667
E3,business_facility,7,1,0.461802,178.697,41.6127,14.29,0.005583,0.023785,1,0.142857
E3,business_coverage,3,2,0.847895,3.14505,15.2218,2.38,0.285451,0.064267,0,0.000000
E3,business_coverage,4,2,0.714745,3.14505,19.898,14.81,0.282017,0.049317,1,0.250000
E3,business_coverage,5,2,0.747634,3.14505,19.898,23.08,0.280011,0.049256,1,0.200000
E3,business_coverage,6,2,0.701991,3.14505,19.898,29.33,0.278696,0.049216,2,0.333333
