label,eta,realized,theory,diff,den,eta_sel,eta_path,viol
Vj_K3_j2,1.5,0.5625,0.5625,0.0,1.0,1.5,1.5,0.0
Vj_K3_j1,2.5,0.38888888888888884,0.38888888888888884,0.0,1.0,2.5000000000000004,2.4999999999999982,0.0
Vj_K3_j0,4.0,0.25,0.25,0.0,1.0,4.000000000000001,4.0000000008,0.0
Vj_K5_j4,1.5,0.5321949187838402,0.5321949187838402,0.0,1.0,1.4999999999999993,1.5000000000512688,0.0
Vj_K5_j3,2.5,0.36889556724267475,0.3688955672426748,5.551115123125783e-17,1.0,2.500000000000001,2.5000000000000004,0.0
Vj_K5_j2,3.5,0.27822222222222215,0.27822222222222226,1.1102230246251565e-16,1.0,3.5000000000000027,3.500000001514359,0.0
Vj_K5_j1,4.5,0.22105263157894744,0.2210526315789474,5.551115123125783e-17,1.0,4.500000000000003,4.500000000000001,0.0
Vj_K5_j0,6.0,0.16666666666666669,0.16666666666666663,5.551115123125783e-17,1.0,6.0,6.000000000531121,0.0
Vj_K8_j7,1.5,0.5151005962127375,0.5151005962127375,0.0,1.0,1.5000000000000013,1.5000000011889094,0.0
Vj_K8_j6,2.5,0.3551771316315745,0.3551771316315745,0.0,1.0,2.500000000000001,2.5000000000000027,0.0
Vj_K8_j5,3.5,0.2690098970466366,0.2690098970466366,0.0,1.0,3.5000000000000018,3.50000000208059,0.0
Vj_K8_j4,4.5,0.21556628969573893,0.215566289695739,5.551115123125783e-17,1.0,4.500000000000002,4.500000000000017,0.0
Vj_K8_j3,5.5,0.17926523053957202,0.179265230539572,2.7755575615628914e-17,1.0,5.500000000000004,5.500000000125414,0.0
Vj_K8_j2,6.5,0.1530234709214938,0.15302347092149382,2.7755575615628914e-17,1.0,6.500000000000002,6.500000000000006,0.0
Vj_K8_j1,7.5,0.13317757009345793,0.133177570093458,5.551115123125783e-17,1.0,7.500000000000003,7.5000000070888095,0.0
Vj_K8_j0,9.0,0.1111111111111111,0.11111111111111116,5.551115123125783e-17,1.0,9.000000000000005,9.000000007200038,0.0
UK_K3,2.5,0.42129629629629617,0.42129629629629617,0.0,1.0,2.000000000000001,2.0000000004000014,0.0
UK_K5,2.25,0.40950999999999993,0.40950999999999993,0.0,1.0,2.0000000000000018,2.000000000000003,0.0
UK_K8,2.142857142857143,0.4032805261667818,0.4032805261667818,0.0,1.0,2.0,2.0000000022348248,0.0
