n,K,tau,eta,defn,mode,status,min_delta,note
32,4,1,1.5,true,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=2
32,4,1,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,1,1.5,ysmall,A_fixedFG,FEASIBLE-BAND,7.54951657e-15,leak_levels=0
32,4,1,1.5,ysmall,B_fixedF,FEASIBLE,6.66133815e-16,delta_cc=6.66134e-16
32,4,2,1.5,true,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=9
32,4,2,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,2,1.5,ysmall,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=8
32,4,2,1.5,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,1,2.0,true,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=4
32,4,1,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,1,2.0,ysmall,A_fixedFG,FEASIBLE-BAND,1.77635684e-15,leak_levels=0
32,4,1,2.0,ysmall,B_fixedF,FEASIBLE,4.4408921e-16,delta_cc=4.44089e-16
32,4,2,2.0,true,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=11
32,4,2,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,2,2.0,ysmall,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=10
32,4,2,2.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,1,3.0,true,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=7
32,4,1,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,1,3.0,ysmall,A_fixedFG,FEASIBLE-BAND,3.24185123e-14,leak_levels=0
32,4,1,3.0,ysmall,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
32,4,2,3.0,true,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=14
32,4,2,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,2,3.0,ysmall,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=13
32,4,2,3.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
64,4,1,1.5,true,A_fixedFG,FEASIBLE-BAND,7.54951657e-15,leak_levels=0
64,4,1,1.5,true,B_fixedF,FEASIBLE,6.66133815e-16,delta_cc=6.66134e-16
64,4,1,1.5,ysmall,A_fixedFG,FEASIBLE-BAND,7.54951657e-15,leak_levels=0
64,4,1,1.5,ysmall,B_fixedF,FEASIBLE,6.66133815e-16,delta_cc=6.66134e-16
64,4,2,1.5,true,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=8
64,4,2,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
64,4,2,1.5,ysmall,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=8
64,4,2,1.5,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
64,4,1,2.0,true,A_fixedFG,FEASIBLE-BAND,1.77635684e-15,leak_levels=0
64,4,1,2.0,true,B_fixedF,FEASIBLE,4.4408921e-16,delta_cc=4.44089e-16
64,4,1,2.0,ysmall,A_fixedFG,FEASIBLE-BAND,1.77635684e-15,leak_levels=0
64,4,1,2.0,ysmall,B_fixedF,FEASIBLE,4.4408921e-16,delta_cc=4.44089e-16
64,4,2,2.0,true,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=10
64,4,2,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
64,4,2,2.0,ysmall,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=10
64,4,2,2.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
64,4,1,3.0,true,A_fixedFG,FEASIBLE-BAND,3.24185123e-14,leak_levels=0
64,4,1,3.0,true,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
64,4,1,3.0,ysmall,A_fixedFG,FEASIBLE-BAND,3.24185123e-14,leak_levels=0
64,4,1,3.0,ysmall,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
64,4,2,3.0,true,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=13
64,4,2,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
64,4,2,3.0,ysmall,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=13
64,4,2,3.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
128,4,1,1.5,true,A_fixedFG,FEASIBLE-BAND,7.54951657e-15,leak_levels=0
128,4,1,1.5,true,B_fixedF,FEASIBLE,6.66133815e-16,delta_cc=6.66134e-16
128,4,1,1.5,ysmall,A_fixedFG,FEASIBLE-BAND,7.54951657e-15,leak_levels=0
128,4,1,1.5,ysmall,B_fixedF,FEASIBLE,6.66133815e-16,delta_cc=6.66134e-16
128,4,2,1.5,true,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=8
128,4,2,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
128,4,2,1.5,ysmall,A_fixedFG,LEAKS,7.54951657e-15,leak_levels=8
128,4,2,1.5,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
128,4,1,2.0,true,A_fixedFG,FEASIBLE-BAND,1.77635684e-15,leak_levels=0
128,4,1,2.0,true,B_fixedF,FEASIBLE,4.4408921e-16,delta_cc=4.44089e-16
128,4,1,2.0,ysmall,A_fixedFG,FEASIBLE-BAND,1.77635684e-15,leak_levels=0
128,4,1,2.0,ysmall,B_fixedF,FEASIBLE,4.4408921e-16,delta_cc=4.44089e-16
128,4,2,2.0,true,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=10
128,4,2,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
128,4,2,2.0,ysmall,A_fixedFG,LEAKS,1.77635684e-15,leak_levels=10
128,4,2,2.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
128,4,1,3.0,true,A_fixedFG,FEASIBLE-BAND,3.24185123e-14,leak_levels=0
128,4,1,3.0,true,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
128,4,1,3.0,ysmall,A_fixedFG,FEASIBLE-BAND,3.24185123e-14,leak_levels=0
128,4,1,3.0,ysmall,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
128,4,2,3.0,true,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=13
128,4,2,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
128,4,2,3.0,ysmall,A_fixedFG,LEAKS,3.24185123e-14,leak_levels=13
128,4,2,3.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,1,1.5,true,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=7
48,6,1,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,1,1.5,ysmall,A_fixedFG,FEASIBLE-BAND,1.42108547e-14,leak_levels=0
48,6,1,1.5,ysmall,B_fixedF,FEASIBLE,1.33226763e-15,delta_cc=1.33227e-15
48,6,2,1.5,true,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=15
48,6,2,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,2,1.5,ysmall,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=13
48,6,2,1.5,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,1,2.0,true,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=11
48,6,1,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,1,2.0,ysmall,A_fixedFG,FEASIBLE-BAND,2.22044605e-14,leak_levels=0
48,6,1,2.0,ysmall,B_fixedF,FEASIBLE,1.11022302e-15,delta_cc=1.11022e-15
48,6,2,2.0,true,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=18
48,6,2,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
48,6,2,2.0,ysmall,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=16
