K,eta,lp_base,lp_sub,min_j_Vj,argmin_j,U_K,diff,sub_le_UK
2,1.0,0.75,0.75,0.75,1,0.75,0.0,True
2,1.1,0.7142857142857143,0.7142857142857145,0.7142857142857143,1,0.7256235827664399,2.220446049250313e-16,True
2,1.2,0.681818181818182,0.681818181818182,0.6818181818181819,1,0.7024793388429753,0.0,True
2,1.3,0.6521739130434782,0.6521739130434784,0.6521739130434783,1,0.6805293005671078,2.220446049250313e-16,True
2,1.4,0.6249999999999999,0.6249999999999999,0.625,1,0.6597222222222223,0.0,True
2,1.5,0.6000000000000001,0.6000000000000001,0.6,1,0.64,0.0,True
2,1.6,0.5769230769230769,0.5769230769230768,0.5769230769230769,1,0.621301775147929,-1.1102230246251565e-16,True
2,1.7,0.5555555555555554,0.5555555555555557,0.5555555555555556,1,0.6035665294924554,3.3306690738754696e-16,True
2,1.8,0.5357142857142857,0.5357142857142854,0.5357142857142857,1,0.5867346938775511,-3.3306690738754696e-16,True
2,1.9,0.517241379310345,0.5172413793103448,0.5172413793103448,1,0.5707491082045184,-2.220446049250313e-16,True
2,2.0,0.4999999999999998,0.49999999999999994,0.5,0,0.5555555555555555,1.6653345369377348e-16,True
2,2.1,0.47619047619047616,0.47619047619047605,0.47619047619047616,0,0.5411030176899063,-1.1102230246251565e-16,True
2,2.2,0.4545454545454545,0.4545454545454545,0.4545454545454546,0,0.52734375,0.0,True
2,2.3,0.4347826086956523,0.434782608695652,0.4347826086956522,0,0.5142332415059687,-2.7755575615628914e-16,True
2,2.4,0.4166666666666666,0.41666666666666663,0.41666666666666663,0,0.5017301038062283,5.551115123125783e-17,True
2,2.5,0.4,0.3999999999999999,0.4,0,0.4897959183673469,-1.1102230246251565e-16,True
2,2.6,0.3846153846153845,0.3846153846153845,0.3846153846153846,0,0.4783950617283951,0.0,True
2,2.7,0.3703703703703703,0.3703703703703703,0.37037037037037035,0,0.4674945215485755,0.0,True
2,2.8,0.357142857142857,0.3571428571428572,0.3571428571428572,0,0.4570637119113572,2.220446049250313e-16,True
2,2.9,0.3448275862068966,0.3448275862068965,0.3448275862068966,0,0.4470742932281393,-5.551115123125783e-17,True
2,3.0,0.33333333333333337,0.3333333333333335,0.33333333333333326,0,0.4375,1.1102230246251565e-16,True
2,2.5,0.4,0.3999999999999999,0.4,0,0.4897959183673469,-1.1102230246251565e-16,True
2,4.0,0.25,0.25,0.25,0,0.3599999999999999,0.0,True
