K,eta,lp_base,lp_sub,min_j_Vj,argmin_j,min_m_Wm,argmin_m,sub_minus_minW,U_K,diff,sub_le_UK
3,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,2,0.7037037037037036,2,1.1102230246251565e-16,0.7037037037037036,0.0,True
3,1.1,0.6705729166666667,0.6737588652482269,0.6705729166666666,2,0.6737588652482267,2,2.220446049250313e-16,0.675048828125,0.003185948581560183,True
3,1.2,0.6401384083044983,0.6462585034013606,0.6401384083044982,2,0.6462585034013605,2,1.1102230246251565e-16,0.6482800732749848,0.006120095096862288,True
3,1.3,0.6121399176954733,0.6209150326797387,0.6121399176954733,2,0.6209150326797385,2,2.220446049250313e-16,0.6232853223593964,0.00877511498426542,True
3,1.4,0.5863342566943676,0.5974842767295596,0.5863342566943676,2,0.5974842767295596,2,0.0,0.599941682461,0.011150020035192054,True
3,1.5,0.5625000000000003,0.575757575757576,0.5625,2,0.5757575757575756,2,4.440892098500626e-16,0.578125,0.01325757575757569,True
3,1.6,0.5404383975812547,0.5555555555555555,0.5404383975812548,2,0.5555555555555554,2,1.1102230246251565e-16,0.5577151495518844,0.015117157974300799,True
3,1.7,0.5199724517906333,0.5303030303030304,0.5199724517906337,2,0.5303030303030302,1,2.220446049250313e-16,0.5385987978963186,0.010330578512397048,True
3,1.8,0.500945179584121,0.507246376811594,0.5009451795841209,2,0.5072463768115941,1,-1.1102230246251565e-16,0.5206706665570808,0.006301197227473021,True
3,1.9,0.4832175925925928,0.4861111111111112,0.48321759259259267,2,0.486111111111111,1,2.220446049250313e-16,0.5038339120370371,0.0028935185185184342,True
3,2.0,0.46666666666666673,0.46666666666666645,0.46666666666666656,1,0.4666666666666666,1,-1.6653345369377348e-16,0.4879999999999999,-2.7755575615628914e-16,True
3,2.1,0.44871794871794857,0.4487179487179487,0.4487179487179487,1,0.4487179487179486,1,5.551115123125783e-17,0.47308830223031406,1.1102230246251565e-16,True
3,2.2,0.4320987654320987,0.43209876543209874,0.4320987654320987,1,0.4320987654320987,1,5.551115123125783e-17,0.45902555504750275,5.551115123125783e-17,True
3,2.3,0.41666666666666663,0.4166666666666667,0.41666666666666663,1,0.41666666666666663,1,5.551115123125783e-17,0.4457452623906706,5.551115123125783e-17,True
3,2.4,0.4022988505747126,0.40229885057471254,0.4022988505747126,1,0.40229885057471254,1,0.0,0.4331870925417196,-5.551115123125783e-17,True
3,2.5,0.388888888888889,0.388888888888889,0.38888888888888884,1,0.38888888888888884,1,1.6653345369377348e-16,0.42129629629629617,0.0,True
3,2.6,0.3763440860215053,0.37634408602150526,0.3763440860215054,1,0.37634408602150526,1,0.0,0.41002316135745687,-5.551115123125783e-17,True
3,2.7,0.3645833333333332,0.36458333333333337,0.36458333333333337,1,0.3645833333333332,1,1.6653345369377348e-16,0.399322509765625,1.6653345369377348e-16,True
3,2.8,0.3535353535353535,0.3535353535353535,0.3535353535353536,1,0.3535353535353535,1,0.0,0.38915324039290977,0.0,True
3,2.9,0.34313725490196073,0.34313725490196056,0.3431372549019608,1,0.34313725490196073,1,-1.6653345369377348e-16,0.37947791573376743,-1.6653345369377348e-16,True
3,3.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,0.3333333333333333,0,5.551115123125783e-17,0.3702623906705538,0.0,True
3,2.5,0.388888888888889,0.388888888888889,0.38888888888888884,1,0.38888888888888884,1,1.6653345369377348e-16,0.42129629629629617,0.0,True
3,4.0,0.25000000000000006,0.25,0.25,0,0.25,0,0.0,0.2976680384087793,-5.551115123125783e-17,True
