K,n,eta,lp_base,lp_sub,min_m_Wm,min_j_Vj,O_sub
2,4,1.5,0.6000000000000001,0.6000000000000001,0.6,0.6,"(2, 3)"
2,5,1.5,0.5999999999999999,0.6,0.6,0.6,"(2, 3)"
2,6,1.5,0.5999999999999999,0.5999999999999999,0.6,0.6,"(2, 3)"
2,4,2.0,0.4999999999999998,0.49999999999999994,0.5,0.5,"(2, 3)"
2,5,2.0,0.49999999999999994,0.49999999999999994,0.5,0.5,"(2, 3)"
2,6,2.0,0.5,0.49999999999999994,0.5,0.5,"(2, 3)"
2,4,3.0,0.33333333333333337,0.3333333333333335,0.3333333333333333,0.33333333333333326,"(2, 3)"
2,5,3.0,0.333333333333334,0.33333333333333337,0.3333333333333333,0.33333333333333326,"(2, 3)"
2,6,3.0,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.33333333333333326,"(2, 3)"
3,6,1.5,0.5625000000000003,0.575757575757576,0.5757575757575756,0.5625,"(3, 4, 5)"
3,7,1.5,0.5625,0.575757575757576,0.5757575757575756,0.5625,"(3, 4, 5)"
3,8,1.5,0.5625000000000001,0.5757575757575758,0.5757575757575756,0.5625,"(3, 4, 5)"
3,6,2.0,0.46666666666666673,0.46666666666666645,0.4666666666666666,0.46666666666666656,"(3, 4, 5)"
3,7,2.0,0.4666666666666666,0.4666666666666664,0.4666666666666666,0.46666666666666656,"(3, 4, 5)"
3,8,2.0,0.4666666666666667,0.4666666666666665,0.4666666666666666,0.46666666666666656,"(3, 4, 5)"
3,6,3.0,0.33333333333333337,0.33333333333333337,0.3333333333333333,0.33333333333333326,"(3, 4, 5)"
3,7,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333326,"(3, 4, 5)"
3,8,3.0,0.3333333333333335,0.3333333333333333,0.3333333333333333,0.33333333333333326,"(3, 4, 5)"
