dataset,seed,K,opt_hat,f_greedy_f,f_greedy_ftilde,table_ratio,ratio_ftilde_over_opt_hat,greedy_f_over_opt_hat,opt_hat_source,n_cand_total,n_cand_ftilde_top,n_cand_random,n_ftilde_scored,seconds
airline,0,7,0.948571,0.948571,0.946404,0.997715,0.997715,1.000000,greedy_f,2200,200,2000,792,227.922494
airline,1,7,0.945419,0.945419,0.941675,0.996040,0.996040,1.000000,ftilde_top,2199,200,2000,792,226.366976
airline,2,7,0.949163,0.946995,0.946995,1.000000,0.997716,0.997716,ftilde_top,2199,200,2000,792,231.900514
airline,3,7,0.950345,0.950345,0.944828,0.994194,0.994194,1.000000,greedy_f,2200,200,2000,792,165.185501
airline,4,7,0.945813,0.942857,0.944039,1.001254,0.998125,0.996875,ftilde_top,2197,200,2000,792,168.076671
airline,5,7,0.947586,0.947586,0.944828,0.997089,0.997089,1.000000,ftilde_top,2200,200,2000,792,162.538948
airline,6,7,0.947980,0.947980,0.946010,0.997921,0.997921,1.000000,ftilde_top,2197,200,2000,792,167.637664
airline,7,7,0.947389,0.947389,0.946207,0.998752,0.998752,1.000000,ftilde_top,2198,200,2000,792,167.434343
airline,8,7,0.950739,0.950739,0.948768,0.997927,0.997927,1.000000,ftilde_top,2200,200,2000,792,163.370954
airline,9,7,0.947586,0.944433,0.945616,1.001252,0.997921,0.996673,ftilde_top,2199,200,2000,792,166.786846
