task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos,J2_L,J2_rho_at_sel,J2_below_L,J2_below_rho_at_sel,J2_gap
E3,sport_coverage,4,7,0.415324,1.0,4.86552,40.91,0.683594,0.190223,3,0.75,0.68359375,0.68359375,True,True,0.26826975
E3,sport_coverage,3,7,0.46281,1.0,4.86552,38.89,0.703704,0.191769,2,0.666667,0.7037037037037036,0.7037037037037037,True,True,0.2408937037037036
E3,sport_coverage,3,77,0.492754,1.0,41.9231,33.33,0.703704,0.023664,2,0.666667,0.7037037037037036,0.7037037037037037,True,True,0.21094970370370358
E3,sport_coverage,4,77,0.506512,1.0,41.9231,36.36,0.683594,0.023641,3,0.75,0.68359375,0.68359375,True,True,0.17708175000000004
E3,tech_coverage,4,15,0.54567,1.0,17.2109,26.0,0.683594,0.056849,3,0.75,0.68359375,0.68359375,True,True,0.13792375
E3,business_coverage,7,27,0.522548,1.0,31.6792,35.8,0.660083,0.031143,5,0.714286,0.660083322910886,0.6600833229108863,True,True,0.137535322910886
E3,business_coverage,6,27,0.538182,1.0,24.4709,34.25,0.665102,0.040175,4,0.666667,0.6651020233196159,0.6651020233196159,True,True,0.12692002331961583
E3,business_facility,5,47,0.555133,1.0,67.0916,32.0,0.67232,0.014816,3,0.6,0.6723199999999999,0.6723199999999999,True,True,0.11718699999999993
E3,business_coverage,6,50,0.560886,1.0,37.6729,37.04,0.665102,0.026252,4,0.666667,0.6651020233196159,0.6651020233196159,True,True,0.10421602331961588
E3,business_facility,6,47,0.565467,1.0,67.0916,35.09,0.665102,0.014813,4,0.666667,0.6651020233196159,0.6651020233196159,True,True,0.09963502331961582
E3,sport_coverage,5,90,0.493339,1.23976,13.8045,13.75,0.585066,0.070371,3,0.6,0.5850675221764154,0.5977641930365312,True,True,0.09172852217641542
E3,sport_facility,4,67,0.576471,1.04421,8.99484,36.67,0.66535,0.106625,2,0.5,0.6653506296453313,0.6687199836125459,True,True,0.08887962964533136
E3,business_facility,7,47,0.574823,1.0,67.0916,36.51,0.660083,0.01481,5,0.714286,0.660083322910886,0.6600833229108863,True,True,0.08526032291088603
E3,business_coverage,5,27,0.589111,1.0,24.4709,31.25,0.67232,0.040202,3,0.6,0.6723199999999999,0.6723199999999999,True,True,0.08320899999999987
