K,eta,rho_K,U_K,min_UK_inv_eta,gap_UK_minus_rho,rho_K_exact,U_K_exact,gap_exact
2,1.25,0.6666666666666666,0.691358024691358,0.691358024691358,0.024691358024691357,2/3,56/81,2/81
2,1.5,0.6,0.64,0.64,0.04,3/5,16/25,1/25
2,2.0,0.5,0.5555555555555556,0.5,0.05555555555555555,1/2,5/9,1/18
2,3.0,0.3333333333333333,0.4375,0.3333333333333333,0.10416666666666667,1/3,7/16,5/48
2,5.0,0.2,0.3055555555555556,0.2,0.10555555555555556,1/5,11/36,19/180
3,1.25,0.6258503401360545,0.6355685131195336,0.6355685131195336,0.009718172983479106,92/147,218/343,10/1029
3,1.5,0.5625,0.578125,0.578125,0.015625,9/16,37/64,1/64
3,2.0,0.4666666666666667,0.488,0.488,0.021333333333333333,7/15,61/125,8/375
3,3.0,0.3333333333333333,0.37026239067055394,0.3333333333333333,0.0369290573372206,1/3,127/343,38/1029
3,5.0,0.2,0.24868519909842224,0.2,0.04868519909842224,1/5,331/1331,324/6655
4,1.25,0.6063566117509841,0.6115361300174186,0.6115361300174186,0.00517951826643442,4159/6859,79696/130321,675/130321
4,1.5,0.5435762584522915,0.5518748719349771,0.5518748719349771,0.008298613482685608,1447/2662,8080/14641,243/29282
4,2.0,0.4489795918367347,0.4602249062890462,0.4602249062890462,0.011245314452311536,22/49,1105/2401,27/2401
4,3.0,0.325,0.3439,0.3333333333333333,0.0189,13/40,3439/10000,189/10000
4,5.0,0.2,0.2275238037109375,0.2,0.0275238037109375,1/5,14911/65536,9019/327680
5,1.25,0.5949074074074074,0.5981224279835391,0.5981224279835391,0.0032150205761316874,257/432,4651/7776,25/7776
5,1.5,0.5321949187838401,0.5373356339620396,0.5373356339620396,0.00514071517819956,6389/12005,9031/16807,432/84035
5,2.0,0.4381344307270233,0.44507104269335634,0.44507104269335634,0.006936611966333045,1597/3645,26281/59049,2048/295245
5,3.0,0.3183431952662722,0.3298230777310642,0.3298230777310642,0.011479882464791957,269/845,122461/371293,21312/1856465
5,5.0,0.2,0.21647383353154095,0.2,0.016473833531540968,1/5,884101/4084101,336404/20420505
8,1.25,0.5780445790728062,0.5792467312691799,0.5792467312691799,0.0012021521963737718,17627919887/30495779262,3100133869856/5352009260481,12867859375/10704018520962
8,1.5,0.5151005962127374,0.5170171946466792,0.5170171946466792,0.0019165984339417495,7015310471/13619301788,40488125920/78310985281,600362847/313243941124
8,2.0,0.4215994293552812,0.42417009855814664,0.42417009855814664,0.002570669202865417,4802281/11390625,1087101569/2562890625,6588344/2562890625
8,3.0,0.3065883681644324,0.3107561315413554,0.3107561315413554,0.004167763376923021,12640349/41229056,17053014175/54875873536,28588707/6859484192
8,5.0,0.19590995799039781,0.20177679548271132,0.2,0.005866837492313525,73123/373248,569234516831/2821109907456,16550993375/2821109907456
10,1.25,0.5725003819268292,0.5732590325356546,0.5732590325356546,0.0007586506088255029,932267406738574/1628413597910449,45741637381596376/79792266297612001,60534451406250/79792266297612001
10,1.5,0.509398724521012,0.5106071020468222,0.5106071020468222,0.0012083775258103153,36949608282739/72535729879345,214816101205552/420707233300201,2541865828329/2103536166501005
10,2.0,0.4160256893999773,0.4176433467700605,0.4176433467700605,0.0016176573700831653,35327992613/84917815205,2560599031177/6131066257801,49589822592/30655331289005
10,3.0,0.30227764311303273,0.3048839310715209,0.3048839310715209,0.002606287958488125,40786106293/134929285120,90305634600775/296196766695424,3859870331907/1480983833477120
10,5.0,0.19366424138287844,0.1973119066362359,0.1973119066362359,0.0036476652533574587,79775327/411925952,8370118566760951/42420747482776576,154736686614375/42420747482776576
20,1.25,0.5615187408690705,0.5617032868535532,0.5617032868535532,0.00018454598448271441,15463638846723047592112558742450555633/27538954127852891275730594631122430633,4594210151886886365317882200993899007376/8179069375972308708891986605443361898001,1509414410141230460452254486083984375/8179069375972308708891986605443361898001
20,1.5,0.49799183627783994,0.49828523672420005,0.49828523672420005,0.0002934004463601169,22050093964028665539545344216929191/44278022966879444488706297965295390,130172202418813439714176706582462800/261240335504588722483367157995242801,766480310443130308591757025805731/2612403355045887224833671579952428010
20,2.0,0.404796580079889,0.405187903827371,0.405187903827371,0.00039132374748199276,88179933206752352389183012661/217837643760106663766012100405,26850267223604736459064838269025/66266211231824447117620880943201,129657710553354311376829087744/331331056159122235588104404716005
20,3.0,0.29316139490993254,0.2937845049189299,0.2937845049189299,0.0006231100089973534,5577154372743326575077755863877/19024177362973682866161212456960,54524131596450777799931872832338975/185592264682226060569122324245118976,578221988579905320516588633502569/927961323411130302845611621225594880
20,5.0,0.1880875723815541,0.188950342960445,0.188950342960445,0.0008627705788908871,407838844836573442396480453079/2168345519443636233418208968704,835165114708654973414166384982273249151/4420024338794077316988270789431736139776,3813466957493176245825195550537109375/4420024338794077316988270789431736139776
