eta,lattice_LP,reduced_LP,minVj_formula,abs_diff,runtime_s,O_type
1.5,0.532194918784,0.532194918784,0.532194918784,1.110e-16,43.88,type_m0_O=5-6-7-8-9
1.5,0.608779650102,0.532194918784,0.532194918784,7.658e-02,39.23,type_m1_O=0-5-6-7-8
1.5,0.697115384615,0.532194918784,0.532194918784,1.649e-01,24.23,type_m2_O=0-1-5-6-7
1.5,0.800000000000,0.532194918784,0.532194918784,2.678e-01,19.46,type_m3_O=0-1-2-5-6
1.5,0.909090909091,0.532194918784,0.532194918784,3.769e-01,8.79,type_m4_O=0-1-2-3-5
1.5,1.000000000000,0.532194918784,0.532194918784,4.678e-01,2.54,type_m5_O=0-1-2-3-4
2.0,0.438134430727,0.438134430727,0.438134430727,5.551e-17,53.97,type_m0_O=5-6-7-8-9
2.0,0.510204081633,0.438134430727,0.438134430727,7.207e-02,57.13,type_m1_O=0-5-6-7-8
2.0,0.600000000000,0.438134430727,0.438134430727,1.619e-01,23.93,type_m2_O=0-1-5-6-7
2.0,0.714285714286,0.438134430727,0.438134430727,2.762e-01,82.19,type_m3_O=0-1-2-5-6
2.0,0.833333333333,0.438134430727,0.438134430727,3.952e-01,20.21,type_m4_O=0-1-2-3-5
2.0,1.000000000000,0.438134430727,0.438134430727,5.619e-01,2.96,type_m5_O=0-1-2-3-4
3.0,0.318343195266,0.318343195266,0.318343195266,1.110e-16,207.34,type_m0_O=5-6-7-8-9
3.0,0.376923076923,0.318343195266,0.318343195266,5.858e-02,142.58,type_m1_O=0-5-6-7-8
4.5,0.221052631579,0.221052631579,0.221052631579,1.665e-16,83.30,type_m0_O=5-6-7-8-9
4.5,0.263157894737,0.221052631579,0.221052631579,4.211e-02,129.08,type_m1_O=0-5-6-7-8
