K,n,eta,tau,x,y,balanced,F,G,Ghat_xy
4,32,2.0,1,0,0,1,-0,-0,-0
4,32,2.0,1,0,1,1,0.25,0.176776695297,0.176776695297
4,32,2.0,1,0,2,0,0.5,0.477262280867,0.328299576979
4,32,2.0,1,0,3,0,0.75,0.826936267123,0.458176332708
4,32,2.0,1,0,4,0,1,1.1776447612,0.573622315879
4,32,2.0,1,1,0,1,0.142857142857,0.176776695297,0.176776695297
4,32,2.0,1,1,1,1,0.357142857143,0.328299576979,0.328299576979
4,32,2.0,1,1,2,0,0.571428571429,0.578277535322,0.458176332708
4,32,2.0,1,1,3,0,0.785714285714,0.877443894351,0.573622315879
4,32,2.0,1,1,4,0,1,1.1776447612,0.688137281466
4,32,2.0,1,2,0,1,0.265306122449,0.328299576979,0.328299576979
4,32,2.0,1,2,1,1,0.448979591837,0.458176332708,0.458176332708
4,32,2.0,1,2,2,0,0.632653061224,0.664862039141,0.573622315879
4,32,2.0,1,2,3,0,0.816326530612,0.92073614626,0.688137281466
4,32,2.0,1,2,4,0,1,1.1776447612,0.800790211884
4,32,2.0,1,3,0,1,0.367346954276,0.458176332708,0.458176332708
4,32,2.0,1,3,1,1,0.530612229398,0.573622315879,0.573622315879
4,32,2.0,1,3,2,0,0.69387750452,0.751446477199,0.688137281466
4,32,2.0,1,3,3,0,0.84693875226,0.964028365289,0.800790211884
4,32,2.0,1,3,4,0,1,1.1776447612,0.909719071966
4,32,2.0,1,4,0,1,0.449637920684,0.573622315879,0.573622315879
4,32,2.0,1,4,1,1,0.611586538112,0.688137281466,0.688137281466
4,32,2.0,1,4,2,0,0.755101947816,0.838030915257,0.800790211884
4,32,2.0,1,4,3,0,0.877550973908,1.00732058432,0.909719071966
4,32,2.0,1,4,4,0,1,1.1776447612,1.01119979137
4,32,2.0,1,5,0,1,0.531928887092,0.688137281466,0.688137281466
4,32,2.0,1,5,1,1,0.691244189131,0.800790211884,0.800790211884
4,32,2.0,1,5,2,0,0.816326391112,0.924615353315,0.909719071966
