  K    eta |        rho_K            W          U_K |    W-rho_K      U_K-W  U_K-rho_K
  3    3/2 |  0.562500000  0.563577586  0.578125000 |  1.078e-03  1.455e-02  1.562e-02
  4    3/2 |  0.543576258  0.543703751  0.551874872 |  1.275e-04  8.171e-03  8.299e-03
  4    5/2 |  0.377162630  0.378149912  0.393865016 |  9.873e-04  1.572e-02  1.670e-02
  5    5/2 |  0.368895567  0.369107581  0.379078677 |  2.120e-04  9.971e-03  1.018e-02
  5    7/2 |  0.278222222  0.278650235  0.291754403 |  4.280e-04  1.310e-02  1.353e-02
  8    7/2 |  0.269009897  0.269017008  0.273881952 |  7.111e-06  4.865e-03  4.872e-03
  8    3/2 |  0.515100596  0.515100679  0.517017195 |  8.295e-08  1.917e-03  1.917e-03
 12    5/2 |  0.346997093  0.346997103  0.348590623 |  1.031e-08  1.594e-03  1.594e-03

strict order rho_K < W < U_K on all rows: PASS
