n,K,tau,eta,defn,status,min_delta,delta_cc,formula
12,3,1,1.5,ysmall,FEASIBLE,0.361111,0.361111,0.361111
12,3,1,1.5,true,INFEASIBLE-ANY-DELTA,,2.29355,0.361111
12,3,2,1.5,ysmall,FEASIBLE,2.29355,2.29355,2.29355
12,3,2,1.5,true,INFEASIBLE-ANY-DELTA,,2.29355,2.29355
12,3,1,2.0,ysmall,FEASIBLE,0.5625,0.5625,0.5625
12,3,1,2.0,true,INFEASIBLE-ANY-DELTA,,3.34028,0.5625
12,3,2,2.0,ysmall,FEASIBLE,3.34028,3.34028,3.34028
12,3,2,2.0,true,INFEASIBLE-ANY-DELTA,,3.34028,3.34028
12,3,1,3.0,ysmall,FEASIBLE,0.777778,0.777778,0.777778
12,3,1,3.0,true,INFEASIBLE-ANY-DELTA,,4.61866,0.777778
12,3,2,3.0,ysmall,FEASIBLE,4.61866,4.61866,4.61866
12,3,2,3.0,true,INFEASIBLE-ANY-DELTA,,4.61866,4.61866
16,4,1,1.5,ysmall,FEASIBLE,0.234568,0.234568,0.234568
16,4,1,1.5,true,INFEASIBLE-ANY-DELTA,,4.35837,0.234568
16,4,2,1.5,ysmall,FEASIBLE,0.929012,0.929012,0.929012
16,4,2,1.5,true,INFEASIBLE-ANY-DELTA,,4.35837,0.929012
16,4,1,2.0,ysmall,FEASIBLE,0.361111,0.361111,0.361111
16,4,1,2.0,true,INFEASIBLE-ANY-DELTA,,6.18073,0.361111
16,4,2,2.0,ysmall,FEASIBLE,1.34473,1.34473,1.34473
16,4,2,2.0,true,INFEASIBLE-ANY-DELTA,,6.18073,1.34473
16,4,1,3.0,ysmall,FEASIBLE,0.493827,0.493827,0.493827
16,4,1,3.0,true,INFEASIBLE-ANY-DELTA,,8.49268,0.493827
16,4,2,3.0,ysmall,FEASIBLE,1.82427,1.82427,1.82427
16,4,2,3.0,true,INFEASIBLE-ANY-DELTA,,8.49268,1.82427
24,6,1,1.5,ysmall,FEASIBLE,0.137778,0.137778,0.137778
24,6,1,1.5,true,INFEASIBLE-ANY-DELTA,,10.0861,0.137778
24,6,2,1.5,ysmall,FEASIBLE,0.404664,0.404664,0.404664
24,6,2,1.5,true,INFEASIBLE-ANY-DELTA,,10.0861,0.404664
24,6,1,2.0,ysmall,FEASIBLE,0.21,0.21,0.21
24,6,1,2.0,true,INFEASIBLE-ANY-DELTA,,14.0805,0.21
24,6,2,2.0,ysmall,FEASIBLE,0.58865,0.58865,0.58865
24,6,2,2.0,true,INFEASIBLE-ANY-DELTA,,14.0805,0.58865
24,6,1,3.0,ysmall,FEASIBLE,0.284444,0.284444,0.284444
24,6,1,3.0,true,INFEASIBLE-ANY-DELTA,,19.3267,0.284444
24,6,2,3.0,ysmall,FEASIBLE,0.790145,0.790145,0.790145
24,6,2,3.0,true,INFEASIBLE-ANY-DELTA,,19.3267,0.790145
32,8,1,1.5,ysmall,FEASIBLE,0.0975057,0.0975057,0.0975057
32,8,1,1.5,true,INFEASIBLE-ANY-DELTA,,17.9295,0.0975057
32,8,2,1.5,ysmall,FEASIBLE,0.25523,0.25523,0.25523
32,8,2,1.5,true,INFEASIBLE-ANY-DELTA,,17.9295,0.25523
32,8,1,2.0,ysmall,FEASIBLE,0.147959,0.147959,0.147959
32,8,1,2.0,true,INFEASIBLE-ANY-DELTA,,24.9285,0.147959
32,8,2,2.0,ysmall,FEASIBLE,0.373291,0.373291,0.373291
