n,K,tau,eta,defn,status,ratio,best_balanced_output,one_minus_exp,LK,UK
12,3,1,1.5,ysmall,OK,0.563578,0.625000,0.486583,0.529492,0.578125
12,3,1,1.5,true,OK,0.589139,0.655738,0.486583,0.529492,0.578125
12,3,2,1.5,ysmall,OK,0.666667,0.864198,0.486583,0.529492,0.578125
12,3,2,1.5,true,OK,0.666667,0.888889,0.486583,0.529492,0.578125
12,3,1,2.0,ysmall,OK,0.468538,0.573333,0.393469,0.421296,0.488000
12,3,1,2.0,true,OK,0.500000,0.666667,0.393469,0.421296,0.488000
12,3,2,2.0,ysmall,OK,0.500000,0.833333,0.393469,0.421296,0.488000
12,3,2,2.0,true,OK,0.500000,0.833333,0.393469,0.421296,0.488000
12,3,1,3.0,ysmall,OK,0.333333,0.555556,0.283469,0.297668,0.370262
12,3,1,3.0,true,OK,0.333333,0.555556,0.283469,0.297668,0.370262
12,3,2,3.0,ysmall,OK,0.333333,0.777778,0.283469,0.297668,0.370262
12,3,2,3.0,true,OK,0.333333,0.777778,0.283469,0.297668,0.370262
24,3,1,1.5,ysmall,OK,0.563578,0.625000,0.486583,0.529492,0.578125
24,3,1,1.5,true,OK,0.563578,0.625000,0.486583,0.529492,0.578125
24,3,2,1.5,ysmall,OK,0.666667,0.888889,0.486583,0.529492,0.578125
24,3,2,1.5,true,OK,0.666667,0.888889,0.486583,0.529492,0.578125
24,3,1,2.0,ysmall,OK,0.468538,0.573333,0.393469,0.421296,0.488000
24,3,1,2.0,true,OK,0.468538,0.573333,0.393469,0.421296,0.488000
24,3,2,2.0,ysmall,OK,0.500000,0.833333,0.393469,0.421296,0.488000
24,3,2,2.0,true,OK,0.500000,0.833333,0.393469,0.421296,0.488000
24,3,1,3.0,ysmall,OK,0.333333,0.555556,0.283469,0.297668,0.370262
24,3,1,3.0,true,OK,0.333333,0.555556,0.283469,0.297668,0.370262
24,3,2,3.0,ysmall,OK,0.333333,0.777778,0.283469,0.297668,0.370262
24,3,2,3.0,true,OK,0.333333,0.777778,0.283469,0.297668,0.370262
16,4,1,1.5,ysmall,OK,0.543704,0.589219,0.486583,0.517747,0.551875
16,4,1,1.5,true,OK,0.591901,0.675325,0.486583,0.517747,0.551875
16,4,2,1.5,ysmall,OK,0.633635,0.718750,0.486583,0.517747,0.551875
16,4,2,1.5,true,OK,0.666667,0.916667,0.486583,0.517747,0.551875
16,4,1,2.0,ysmall,OK,0.449298,0.527697,0.393469,0.413818,0.460225
16,4,1,2.0,true,OK,0.500000,0.750000,0.393469,0.413818,0.460225
16,4,2,2.0,ysmall,OK,0.500000,0.750000,0.393469,0.413818,0.460225
16,4,2,2.0,true,OK,0.500000,0.875000,0.393469,0.413818,0.460225
16,4,1,3.0,ysmall,OK,0.325688,0.463303,0.283469,0.293933,0.343900
16,4,1,3.0,true,OK,0.333333,0.666667,0.283469,0.293933,0.343900
16,4,2,3.0,ysmall,OK,0.333333,0.666667,0.283469,0.293933,0.343900
16,4,2,3.0,true,OK,0.333333,0.833333,0.283469,0.293933,0.343900
32,4,1,1.5,ysmall,OK,0.543704,0.589219,0.486583,0.517747,0.551875
32,4,1,1.5,true,OK,0.543970,0.589219,0.486583,0.517747,0.551875
32,4,2,1.5,ysmall,OK,0.633635,0.718750,0.486583,0.517747,0.551875
32,4,2,1.5,true,OK,0.633635,0.718750,0.486583,0.517747,0.551875
32,4,1,2.0,ysmall,OK,0.449298,0.527697,0.393469,0.413818,0.460225
32,4,1,2.0,true,OK,0.449638,0.530612,0.393469,0.413818,0.460225
32,4,2,2.0,ysmall,OK,0.500000,0.743012,0.393469,0.413818,0.460225
32,4,2,2.0,true,OK,0.500000,0.750000,0.393469,0.413818,0.460225
32,4,1,3.0,ysmall,OK,0.326100,0.459725,0.283469,0.293933,0.343900
32,4,1,3.0,true,OK,0.328791,0.463448,0.283469,0.293933,0.343900
32,4,2,3.0,ysmall,OK,0.333333,0.666667,0.283469,0.293933,0.343900
32,4,2,3.0,true,OK,0.333333,0.666667,0.283469,0.293933,0.343900
24,6,1,1.5,ysmall,OK,0.524603,0.554313,0.486583,0.506730,0.528096
24,6,1,1.5,true,OK,0.543790,0.621849,0.486583,0.506730,0.528096
24,6,2,1.5,ysmall,OK,0.581047,0.640150,0.486583,0.506730,0.528096
24,6,2,1.5,true,OK,0.634879,0.726906,0.486583,0.506730,0.528096
24,6,1,2.0,ysmall,OK,0.430835,0.482566,0.393469,0.406708,0.435526
24,6,1,2.0,true,OK,0.456031,0.573321,0.393469,0.406708,0.435526
24,6,2,2.0,ysmall,OK,0.476268,0.589703,0.393469,0.406708,0.435526
24,6,2,2.0,true,OK,0.500000,0.750000,0.393469,0.406708,0.435526
24,6,1,3.0,ysmall,OK,0.313354,0.399676,0.283469,0.290327,0.321066
24,6,1,3.0,true,OK,0.333333,0.555556,0.283469,0.290327,0.321066
24,6,2,3.0,ysmall,OK,0.333333,0.555556,0.283469,0.290327,0.321066
24,6,2,3.0,true,OK,0.333333,0.666667,0.283469,0.290327,0.321066
48,6,1,1.5,ysmall,OK,0.524603,0.554313,0.486583,0.506730,0.528096
48,6,1,1.5,true,OK,0.525057,0.554313,0.486583,0.506730,0.528096
48,6,2,1.5,ysmall,OK,0.581047,0.640150,0.486583,0.506730,0.528096
48,6,2,1.5,true,OK,0.583576,0.644477,0.486583,0.506730,0.528096
48,6,1,2.0,ysmall,OK,0.430835,0.482566,0.393469,0.406708,0.435526
48,6,1,2.0,true,OK,0.432177,0.485842,0.393469,0.406708,0.435526
48,6,2,2.0,ysmall,OK,0.476268,0.589703,0.393469,0.406708,0.435526
48,6,2,2.0,true,OK,0.482505,0.594439,0.393469,0.406708,0.435526
48,6,1,3.0,ysmall,OK,0.313413,0.399171,0.283469,0.290327,0.321066
48,6,1,3.0,true,OK,0.318168,0.406209,0.283469,0.290327,0.321066
48,6,2,3.0,ysmall,OK,0.333333,0.555556,0.283469,0.290327,0.321066
48,6,2,3.0,true,OK,0.333333,0.555556,0.283469,0.290327,0.321066
32,8,1,1.5,ysmall,OK,0.515101,0.537141,0.486583,0.501470,0.517017
32,8,1,1.5,true,OK,0.527900,0.628003,0.486583,0.501470,0.517017
32,8,2,1.5,ysmall,OK,0.557256,0.601419,0.486583,0.501470,0.517017
32,8,2,1.5,true,OK,0.610275,0.698759,0.486583,0.501470,0.517017
32,8,1,2.0,ysmall,OK,0.421600,0.460159,0.393469,0.403281,0.424170
32,8,1,2.0,true,OK,0.439423,0.576923,0.393469,0.403281,0.424170
32,8,2,2.0,ysmall,OK,0.455987,0.539152,0.393469,0.403281,0.424170
32,8,2,2.0,true,OK,0.500000,0.750000,0.393469,0.403281,0.424170
32,8,1,3.0,ysmall,OK,0.306588,0.369932,0.283469,0.288569,0.310756
32,8,1,3.0,true,OK,0.323250,0.548611,0.283469,0.288569,0.310756
32,8,2,3.0,ysmall,OK,0.327672,0.472481,0.283469,0.288569,0.310756
32,8,2,3.0,true,OK,0.333333,0.666667,0.283469,0.288569,0.310756
64,8,1,1.5,ysmall,OK,0.515101,0.537141,0.486583,0.501470,0.517017
64,8,1,1.5,true,OK,0.524102,0.568342,0.486583,0.501470,0.517017
64,8,2,1.5,ysmall,OK,0.557256,0.601419,0.486583,0.501470,0.517017
64,8,2,1.5,true,OK,0.567727,0.635500,0.486583,0.501470,0.517017
64,8,1,2.0,ysmall,OK,0.421600,0.460159,0.393469,0.403281,0.424170
