n,K,tau,eta,split,balanced_def,status,min_delta,delta_cc,delta_explicit,ratio_B,LK,opt_is_O,n_hard_conflicts,leak
8,3,1,1.5,sqrt,ysmall,FEASIBLE,0.361111,0.361111,0.361111,0.529492,0.529492,True,0,0.142
8,3,1,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,2.29355,,0.529492,0.529492,True,25,
8,3,2,1.5,sqrt,ysmall,FEASIBLE,2.29355,2.29355,2.29355,0.529492,0.529492,True,0,0.333
8,3,2,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,2.29355,,0.529492,0.529492,True,80,
8,3,1,2.0,sqrt,ysmall,FEASIBLE,0.5625,0.5625,0.5625,0.421296,0.421296,True,0,0.118
8,3,1,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,3.34028,,0.421296,0.421296,True,25,
8,3,2,2.0,sqrt,ysmall,FEASIBLE,3.34028,3.34028,3.34028,0.421296,0.421296,True,0,0.332
8,3,2,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,3.34028,,0.421296,0.421296,True,80,
8,3,1,3.0,sqrt,ysmall,FEASIBLE,0.777778,0.777778,0.777778,0.297668,0.297668,True,0,0.107
8,3,1,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,25,
8,3,2,3.0,sqrt,ysmall,FEASIBLE,4.61866,4.61866,4.61866,0.297668,0.297668,True,0,0.29
8,3,2,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,80,
8,3,1,1.5,sqrt,ysmall,FEASIBLE,0.361111,0.361111,0.361111,0.529492,0.529492,True,0,0.142
8,3,1,1.5,u,ysmall,FEASIBLE,0.361111,0.361111,0.361111,0.529492,0.529492,True,0,0.142
8,3,1,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,2.29355,,0.529492,0.529492,True,25,
8,3,1,1.5,u,true,INFEASIBLE-ANY-DELTA,,2.29355,,0.529492,0.529492,True,25,
8,3,2,1.5,sqrt,ysmall,FEASIBLE,2.29355,2.29355,2.29355,0.529492,0.529492,True,0,0.333
8,3,2,1.5,u,ysmall,FEASIBLE,2.29355,2.29355,2.29355,0.529492,0.529492,True,0,0.333
8,3,2,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,2.29355,,0.529492,0.529492,True,80,
8,3,2,1.5,u,true,INFEASIBLE-ANY-DELTA,,2.29355,,0.529492,0.529492,True,80,
8,3,1,2.0,sqrt,ysmall,FEASIBLE,0.5625,0.5625,0.5625,0.421296,0.421296,True,0,0.118
8,3,1,2.0,u,ysmall,FEASIBLE,0.5625,0.5625,0.5625,0.421296,0.421296,True,0,0.118
8,3,1,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,3.34028,,0.421296,0.421296,True,25,
8,3,1,2.0,u,true,INFEASIBLE-ANY-DELTA,,3.34028,,0.421296,0.421296,True,25,
8,3,2,2.0,sqrt,ysmall,FEASIBLE,3.34028,3.34028,3.34028,0.421296,0.421296,True,0,0.332
8,3,2,2.0,u,ysmall,FEASIBLE,3.34028,3.34028,3.34028,0.421296,0.421296,True,0,0.332
8,3,2,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,3.34028,,0.421296,0.421296,True,80,
8,3,2,2.0,u,true,INFEASIBLE-ANY-DELTA,,3.34028,,0.421296,0.421296,True,80,
8,3,1,3.0,sqrt,ysmall,FEASIBLE,0.777778,0.777778,0.777778,0.297668,0.297668,True,0,0.107
8,3,1,3.0,u,ysmall,FEASIBLE,0.777778,0.777778,0.777778,0.297668,0.297668,True,0,0.107
8,3,1,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,25,
8,3,1,3.0,u,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,25,
8,3,2,3.0,sqrt,ysmall,FEASIBLE,4.61866,4.61866,4.61866,0.297668,0.297668,True,0,0.29
8,3,2,3.0,u,ysmall,FEASIBLE,4.61866,4.61866,4.61866,0.297668,0.297668,True,0,0.29
8,3,2,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,80,
8,3,2,3.0,u,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,80,
